,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2011,東京ヤクルト,140,555,486,63,111,22,1,31,228,76,3,1,0,6,61,2,131,15,0.228,0.469,0.314
1,2012,東京ヤクルト,106,422,353,58,96,13,0,31,202,81,1,0,0,2,64,3,92,14,0.272,0.5720000000000001,0.386
2,2013,東京ヤクルト,130,547,439,94,145,17,0,60,342,131,0,0,0,4,103,1,105,14,0.33,0.779,0.455
3,2014,東京ヤクルト,112,446,366,61,110,12,0,31,215,69,2,0,0,3,75,2,95,10,0.301,0.5870000000000001,0.419
4,2015,東京ヤクルト,15,52,43,4,8,2,0,1,13,6,0,0,0,0,9,0,14,1,0.18600000000000003,0.302,0.327
5,2016,東京ヤクルト,132,537,457,64,123,20,0,31,236,96,0,1,0,5,72,3,116,19,0.26899999999999996,0.516,0.369
6,2017,東京ヤクルト,125,519,445,60,113,14,1,32,225,80,0,1,0,1,70,3,112,18,0.254,0.506,0.358
7,2018,東京ヤクルト,142,602,514,72,138,22,0,38,274,131,1,1,0,3,85,0,121,15,0.268,0.5329999999999999,0.37
8,2019,東京ヤクルト,120,468,410,65,115,13,0,33,227,93,0,1,0,3,54,1,117,11,0.28,0.5539999999999999,0.363
9,2020,福岡ソフトバンク,60,218,191,16,32,7,0,9,66,22,0,1,0,2,25,0,59,8,0.168,0.34600000000000003,0.261
10,2021,福岡ソフトバンク,22,60,55,7,10,3,0,4,25,9,0,0,0,0,5,0,19,2,0.182,0.455,0.25
11,nan,通　算,1104,4426,3759,564,1001,145,2,301,2053,794,7,6,0,29,623,15,981,127,0.266,0.546,0.37
