,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2008,福岡ソフトバンク,71,245,221,28,52,13,1,4,79,24,2,0,4,1,18,1,47,1,0.235,0.35700000000000004,0.295
1,2009,福岡ソフトバンク,143,584,509,69,159,31,3,7,217,44,10,5,11,1,57,6,89,7,0.312,0.426,0.387
2,2010,福岡ソフトバンク,134,519,443,48,113,17,0,3,139,32,14,3,10,3,51,12,97,8,0.255,0.314,0.34600000000000003
3,2011,福岡ソフトバンク,125,455,392,51,115,23,1,4,152,34,13,1,6,2,47,8,87,2,0.293,0.38799999999999996,0.379
4,2012,福岡ソフトバンク,126,473,403,41,112,15,3,4,145,37,16,5,16,5,40,9,87,4,0.278,0.36,0.35200000000000004
5,2013,福岡ソフトバンク,144,637,580,92,198,29,6,19,296,83,12,2,0,5,47,5,111,5,0.341,0.51,0.392
6,2014,福岡ソフトバンク,135,541,473,58,142,30,3,6,196,55,7,7,0,7,54,7,95,8,0.3,0.414,0.375
7,2015,福岡ソフトバンク,30,96,85,8,19,0,0,5,34,12,0,0,0,0,11,0,27,0,0.22399999999999998,0.4,0.313
8,2016,福岡ソフトバンク,122,442,387,45,105,15,3,10,156,51,2,4,1,0,51,3,95,9,0.271,0.40299999999999997,0.361
9,2017,福岡ソフトバンク,23,44,37,5,8,1,2,2,19,7,1,0,0,0,7,0,15,0,0.21600000000000003,0.514,0.341
10,2018,福岡ソフトバンク,55,112,101,15,29,6,0,5,50,20,0,0,0,1,9,1,18,3,0.287,0.495,0.348
11,2019,福岡ソフトバンク,25,54,43,6,13,4,0,3,26,9,1,0,0,2,7,2,4,1,0.302,0.605,0.40700000000000003
12,2020,福岡ソフトバンク,29,87,76,6,17,5,0,1,25,7,0,0,0,0,10,1,18,2,0.22399999999999998,0.32899999999999996,0.322
13,2021,福岡ソフトバンク,71,120,100,10,26,6,1,3,43,19,0,0,0,2,17,1,18,2,0.26,0.43,0.36700000000000005
14,nan,通　算,1233,4409,3850,482,1108,195,23,76,1577,434,78,27,48,29,426,56,808,52,0.28800000000000003,0.41,0.365
