,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2008,福岡ソフトバンク,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3,7.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,9.0
1,2009,福岡ソフトバンク,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.1,7.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,6.23
2,2010,福岡ソフトバンク,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,22.1,30.0,2.0,9.0,1.0,9.0,0.0,0.0,21.0,20.0,8.06
3,2011,福岡ソフトバンク,13.0,6.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.75,326.0,79.1,70.0,4.0,22.0,5.0,33.0,4.0,0.0,27.0,24.0,2.72
4,2012,福岡ソフトバンク,29.0,5.0,10.0,0.0,3.0,4.0,2.0,0.0,0.0,0.33299999999999996,498.0,120.1,113.0,5.0,27.0,3.0,77.0,1.0,0.0,46.0,42.0,3.14
5,2013,福岡ソフトバンク,47.0,1.0,4.0,2.0,14.0,15.0,0.0,0.0,0.0,0.2,297.0,68.2,79.0,9.0,14.0,3.0,54.0,2.0,0.0,39.0,33.0,4.33
6,2014,福岡ソフトバンク,18.0,4.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.8,266.0,62,64.0,10.0,15.0,4.0,37.0,0.0,0.0,32.0,28.0,4.06
7,2015,福岡ソフトバンク,8.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,46.0,10.2,11.0,3.0,4.0,0.0,5.0,1.0,0.0,8.0,8.0,6.75
8,2016,福岡ソフトバンク,35.0,4.0,2.0,1.0,9.0,10.0,1.0,1.0,0.0,0.667,347.0,87.2,77.0,6.0,17.0,0.0,61.0,3.0,0.0,22.0,19.0,1.95
9,2017,福岡ソフトバンク,72.0,6.0,3.0,2.0,40.0,46.0,0.0,0.0,0.0,0.667,289.0,72.1,55.0,8.0,16.0,2.0,66.0,1.0,0.0,16.0,16.0,1.99
10,2018,福岡ソフトバンク,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
11,2019,福岡ソフトバンク,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,4.5
12,2020,福岡ソフトバンク,17.0,0.0,2.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,70.0,15,19.0,3.0,6.0,1.0,20.0,0.0,0.0,12.0,12.0,7.2
13,2021,福岡ソフトバンク,48.0,2.0,5.0,6.0,14.0,16.0,0.0,0.0,0.0,0.28600000000000003,179.0,45.1,37.0,7.0,11.0,0.0,56.0,1.0,0.0,21.0,21.0,4.17
14,nan,通　算,299.0,30.0,33.0,11.0,96.0,109.0,5.0,2.0,0.0,0.47600000000000003,2470.0,595,570.0,57.0,143.0,19.0,424.0,13.0,0.0,253.0,230.0,3.48
