,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2011,福岡ソフトバンク,18,1,1,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0.0,0.0,0.0
1,2012,福岡ソフトバンク,126,343,307,24,73,8,1,2,89,14,8,4,21,2,10,3,75,2,0.23800000000000002,0.29,0.267
2,2013,福岡ソフトバンク,143,600,491,57,124,23,4,5,170,43,10,3,62,3,35,9,94,7,0.253,0.34600000000000003,0.312
3,2014,福岡ソフトバンク,144,662,551,61,132,26,1,3,169,42,10,5,62,4,41,4,104,10,0.24,0.307,0.295
4,2015,福岡ソフトバンク,142,530,457,52,104,18,3,7,149,45,3,3,35,4,34,0,83,13,0.228,0.326,0.27899999999999997
5,2016,福岡ソフトバンク,137,590,497,74,122,22,5,10,184,56,8,4,38,5,47,3,86,7,0.245,0.37,0.312
6,2017,福岡ソフトバンク,141,623,526,78,139,27,7,14,222,64,15,4,52,3,38,4,93,12,0.264,0.42200000000000004,0.317
7,2018,福岡ソフトバンク,99,405,354,45,94,18,1,11,147,45,5,4,22,2,25,2,60,5,0.266,0.415,0.316
8,2019,福岡ソフトバンク,106,426,383,44,98,15,0,14,155,41,4,5,7,1,32,3,67,3,0.256,0.405,0.317
9,2020,福岡ソフトバンク,43,177,164,30,44,7,2,6,73,22,2,0,5,3,5,0,22,2,0.268,0.445,0.285
10,2021,福岡ソフトバンク,125,413,365,27,78,15,2,4,109,30,4,1,23,2,22,1,70,5,0.214,0.299,0.259
11,2022,福岡ソフトバンク,130,510,450,56,133,30,0,7,184,47,3,4,19,1,37,3,71,14,0.29600000000000004,0.409,0.35200000000000004
12,nan,通　算,1354,5280,4546,551,1141,209,26,83,1651,449,74,37,346,30,326,32,826,80,0.251,0.363,0.304
