,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2011,福岡ソフトバンク,6,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0
1,2012,福岡ソフトバンク,68,212,195,17,48,10,1,5,75,18,6,1,2,0,10,5,56,2,0.24600000000000002,0.385,0.3
2,2013,福岡ソフトバンク,104,337,298,48,88,19,2,11,144,41,10,1,0,0,32,7,96,3,0.295,0.483,0.377
3,2014,福岡ソフトバンク,144,615,524,91,166,18,4,15,237,70,33,6,0,3,72,16,131,8,0.317,0.452,0.413
4,2015,福岡ソフトバンク,138,605,502,110,182,31,1,34,317,99,32,8,0,1,88,14,101,9,0.363,0.631,0.469
5,2016,福岡ソフトバンク,120,536,428,82,131,31,4,18,224,73,23,2,0,0,100,8,97,8,0.306,0.523,0.446
6,2017,福岡ソフトバンク,130,551,448,95,139,30,1,31,264,99,14,7,0,7,89,7,123,6,0.31,0.589,0.426
7,2018,福岡ソフトバンク,130,550,475,95,167,29,5,36,314,102,21,7,0,5,62,8,105,8,0.35200000000000004,0.6609999999999999,0.431
8,2019,福岡ソフトバンク,38,157,128,17,37,6,1,7,66,23,4,1,0,0,28,1,28,4,0.289,0.516,0.42
9,2020,福岡ソフトバンク,119,515,427,90,146,23,5,29,266,86,7,2,0,3,84,1,103,2,0.342,0.623,0.449
10,2021,福岡ソフトバンク,141,593,516,95,155,36,2,28,279,80,6,0,0,2,69,6,122,6,0.3,0.541,0.38799999999999996
11,2022,福岡ソフトバンク,117,491,437,63,120,18,1,24,212,79,2,3,0,5,43,6,106,6,0.275,0.485,0.344
12,nan,通　算,1255,5167,4383,804,1379,251,27,238,2398,770,158,38,2,26,677,79,1071,62,0.315,0.547,0.413
