,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2007,福岡ソフトバンク,12,30,23,2,3,2,0,0,5,4,0,0,2,0,5,0,15,0,0.13,0.217,0.28600000000000003
1,2008,福岡ソフトバンク,62,215,189,17,34,4,0,2,44,13,0,0,8,1,16,1,57,2,0.18,0.233,0.24600000000000002
2,2009,福岡ソフトバンク,25,72,62,2,13,1,0,0,14,5,0,0,2,0,7,1,18,2,0.21,0.226,0.3
3,2010,福岡ソフトバンク,23,22,18,1,2,1,0,0,3,1,0,0,1,0,3,0,6,1,0.111,0.16699999999999998,0.23800000000000002
4,2011,福岡ソフトバンク,12,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0.667,0.667,0.667
5,2012,福岡ソフトバンク,64,144,133,8,28,8,0,0,36,10,1,1,3,1,7,0,25,2,0.21100000000000002,0.271,0.248
6,2013,福岡ソフトバンク,22,28,26,1,2,0,0,0,2,1,0,0,0,0,2,0,9,1,0.077,0.077,0.14300000000000002
7,2014,福岡ソフトバンク,20,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
8,2015,福岡ソフトバンク,93,192,171,14,30,6,1,1,41,16,0,1,8,0,13,0,31,2,0.175,0.24,0.23399999999999999
9,2016,福岡ソフトバンク,37,103,81,12,20,0,0,2,26,16,0,0,10,1,10,1,12,4,0.247,0.321,0.33299999999999996
10,2017,福岡ソフトバンク,92,195,175,9,36,4,0,1,43,20,0,1,5,2,12,1,30,1,0.20600000000000002,0.24600000000000002,0.258
11,2018,福岡ソフトバンク,73,57,52,5,9,1,0,1,13,4,0,0,3,0,1,1,11,1,0.17300000000000001,0.25,0.204
12,2019,福岡ソフトバンク,55,42,30,2,5,0,0,1,8,1,0,0,7,0,5,0,15,0,0.16699999999999998,0.267,0.28600000000000003
13,2020,福岡ソフトバンク,33,62,52,6,13,3,0,2,22,10,0,0,4,0,4,2,19,0,0.25,0.423,0.32799999999999996
14,2021,福岡ソフトバンク,20,17,17,1,4,0,0,0,4,0,0,0,0,0,0,0,1,0,0.235,0.235,0.235
15,nan,通　算,643,1187,1037,81,201,30,1,10,263,101,1,3,53,5,85,7,250,16,0.19399999999999998,0.254,0.258
