,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2011,東北楽天,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
1,2012,東北楽天,20,27,22,2,3,0,0,0,3,1,0,0,3,0,1,1,4,0,0.136,0.136,0.20800000000000002
2,2013,東北楽天,26,52,48,3,8,1,0,0,9,2,1,0,2,0,2,0,14,0,0.16699999999999998,0.188,0.2
3,2014,東北楽天,131,415,372,39,93,19,0,7,133,41,8,3,12,3,24,4,100,9,0.25,0.358,0.3
4,2015,東北楽天,62,183,168,19,37,7,0,1,47,8,2,4,4,0,11,0,44,4,0.22,0.28,0.268
5,2016,東北楽天,11,21,20,3,2,0,0,1,5,1,0,0,0,0,1,0,6,2,0.1,0.25,0.14300000000000002
6,2017,東北楽天,22,24,22,2,3,0,0,0,3,0,0,0,0,0,2,0,10,0,0.136,0.136,0.20800000000000002
7,2018,福岡ソフトバンク,72,113,109,18,23,3,0,4,38,16,3,0,2,1,1,0,37,1,0.21100000000000002,0.349,0.21600000000000003
8,2019,福岡ソフトバンク,7,8,8,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0.125,0.25,0.125
9,2020,福岡ソフトバンク,36,11,11,6,1,0,0,0,1,1,2,1,0,0,0,0,4,0,0.091,0.091,0.091
10,nan,通　算,388,855,781,94,171,31,0,13,241,71,16,8,23,4,42,5,220,16,0.21899999999999997,0.309,0.262
