,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2004,福岡ダイエー,7,5,4,2,1,0,1,0,3,0,0,0,0,0,1,0,2,0,0.25,0.75,0.4
1,2007,福岡ソフトバンク,15,18,17,3,3,1,0,0,4,1,0,0,0,0,1,0,6,1,0.17600000000000002,0.235,0.222
2,2008,福岡ソフトバンク,29,55,49,8,11,2,1,0,15,4,1,0,2,2,1,1,17,0,0.22399999999999998,0.306,0.245
3,2009,福岡ソフトバンク,48,114,103,14,30,9,2,1,46,9,6,0,2,1,8,0,27,0,0.29100000000000004,0.447,0.33899999999999997
4,2010,福岡ソフトバンク,39,51,47,8,6,2,0,0,8,0,2,1,2,0,2,0,12,1,0.128,0.17,0.163
5,2011,福岡ソフトバンク,58,105,90,8,25,1,5,1,39,15,5,2,4,1,10,0,21,2,0.278,0.433,0.34700000000000003
6,2012,福岡ソフトバンク,135,567,508,54,129,8,6,1,152,27,25,10,23,1,33,2,98,2,0.254,0.299,0.301
7,2013,福岡ソフトバンク,33,89,79,8,18,1,1,1,24,7,2,2,4,0,6,0,16,1,0.228,0.304,0.282
8,2014,福岡ソフトバンク,93,273,250,38,63,10,4,1,84,21,17,4,7,1,13,2,54,4,0.252,0.336,0.293
9,2015,福岡ソフトバンク,115,394,342,49,90,12,3,3,117,30,11,5,12,4,31,5,64,4,0.263,0.342,0.33
10,2016,福岡ソフトバンク,47,152,135,17,31,6,2,0,41,16,6,2,6,2,7,2,34,3,0.23,0.304,0.27399999999999997
11,2017,福岡ソフトバンク,103,339,290,37,81,10,3,1,100,23,5,6,15,3,30,1,57,3,0.27899999999999997,0.345,0.34600000000000003
12,2018,福岡ソフトバンク,45,115,103,16,29,5,3,1,43,12,2,1,0,0,11,1,21,0,0.282,0.41700000000000004,0.35700000000000004
13,2019,福岡ソフトバンク,99,315,282,31,70,12,3,5,103,21,6,2,5,1,26,1,66,6,0.248,0.365,0.313
14,2020,福岡ソフトバンク,63,172,154,20,39,9,1,2,56,17,4,2,5,1,12,0,32,1,0.253,0.364,0.305
15,2021,福岡ソフトバンク,57,95,84,5,17,2,0,0,19,7,1,1,0,1,9,1,18,1,0.20199999999999999,0.226,0.284
16,2022,福岡ソフトバンク,22,35,30,2,5,0,1,0,7,3,0,0,2,0,3,0,5,1,0.16699999999999998,0.233,0.242
17,nan,通　算,1008,2894,2567,320,648,90,36,17,861,213,93,38,89,18,204,16,550,30,0.252,0.335,0.309
