,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2006,福岡ソフトバンク,62,220,204,17,43,8,3,3,66,18,0,0,3,0,11,2,53,2,0.21100000000000002,0.324,0.258
1,2007,福岡ソフトバンク,74,221,193,28,49,13,2,7,87,22,3,0,6,2,17,3,35,5,0.254,0.451,0.321
2,2008,福岡ソフトバンク,142,595,551,68,154,33,10,17,258,63,12,6,8,1,28,7,115,11,0.27899999999999997,0.46799999999999997,0.322
3,2009,福岡ソフトバンク,46,175,160,21,45,13,2,8,86,24,1,0,7,0,7,1,32,1,0.281,0.5379999999999999,0.315
4,2010,福岡ソフトバンク,113,458,424,61,108,20,3,19,191,71,17,3,8,6,14,6,90,7,0.255,0.45,0.284
5,2011,福岡ソフトバンク,144,582,525,77,148,31,7,25,268,83,27,9,3,3,41,10,128,11,0.282,0.51,0.344
6,2012,福岡ソフトバンク,95,390,360,41,108,28,7,9,177,56,16,10,0,2,27,1,63,7,0.3,0.49200000000000005,0.349
7,2013,福岡ソフトバンク,144,626,584,86,163,26,5,20,259,90,13,7,2,7,27,6,124,11,0.27899999999999997,0.44299999999999995,0.314
8,2014,福岡ソフトバンク,101,423,392,54,118,20,3,18,198,56,12,6,1,4,24,2,80,13,0.301,0.505,0.341
9,2015,福岡ソフトバンク,143,603,533,91,153,22,2,35,284,94,8,10,0,8,60,2,135,17,0.287,0.5329999999999999,0.35700000000000004
10,2016,福岡ソフトバンク,143,609,548,79,142,23,5,27,256,85,6,6,0,5,48,8,141,14,0.259,0.467,0.325
11,2017,福岡ソフトバンク,143,577,531,64,140,19,6,24,243,71,5,2,0,2,43,1,128,16,0.264,0.45799999999999996,0.319
12,2018,福岡ソフトバンク,143,580,517,72,128,21,3,32,251,82,3,3,0,3,56,4,113,12,0.248,0.485,0.324
13,2019,福岡ソフトバンク,143,576,534,64,139,25,2,30,258,76,5,3,2,4,33,3,115,14,0.26,0.483,0.305
14,2020,福岡ソフトバンク,116,431,395,36,90,16,3,13,151,46,1,0,0,3,32,1,76,2,0.228,0.382,0.285
15,2021,福岡ソフトバンク,115,390,354,30,83,13,3,14,144,47,5,0,3,4,27,2,67,10,0.23399999999999999,0.40700000000000003,0.289
16,nan,通　算,1867,7456,6805,889,1811,331,66,301,3177,984,134,65,43,54,495,59,1495,153,0.266,0.467,0.319
