,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2014,中　日,67.0,9.0,1.0,2.0,24.0,33.0,0.0,0.0,0.0,0.9,321.0,81.1,50.0,3.0,28.0,4.0,104.0,1.0,0.0,20.0,20.0,2.21
1,2015,中　日,63.0,6.0,6.0,0.0,30.0,36.0,0.0,0.0,0.0,0.5,301.0,72.1,64.0,5.0,23.0,4.0,82.0,1.0,0.0,27.0,27.0,3.36
2,2016,中　日,62.0,6.0,6.0,0.0,16.0,22.0,0.0,0.0,0.0,0.5,239.0,54.2,58.0,3.0,17.0,3.0,55.0,1.0,0.0,22.0,17.0,2.8
3,2017,中　日,50.0,8.0,3.0,0.0,21.0,26.0,1.0,1.0,0.0,0.727,434.0,110,84.0,7.0,36.0,5.0,78.0,0.0,1.0,27.0,26.0,2.13
4,2018,中　日,40.0,2.0,5.0,0.0,9.0,11.0,0.0,0.0,0.0,0.28600000000000003,187.0,41.1,54.0,6.0,17.0,1.0,28.0,1.0,0.0,30.0,30.0,6.53
5,2019,中　日,26.0,3.0,3.0,0.0,3.0,6.0,0.0,0.0,0.0,0.5,182.0,44.1,35.0,5.0,19.0,1.0,37.0,0.0,0.0,21.0,20.0,4.06
6,2020,中　日,26.0,4.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,1.0,105.0,26,22.0,2.0,8.0,1.0,18.0,0.0,0.0,8.0,8.0,2.77
7,2021,中　日,66.0,3.0,2.0,8.0,33.0,36.0,0.0,0.0,0.0,0.6,245.0,63.1,47.0,2.0,22.0,1.0,41.0,0.0,0.0,11.0,9.0,1.28
8,2022,福岡ソフトバンク,31.0,3.0,3.0,1.0,14.0,17.0,0.0,0.0,0.0,0.5,122.0,30,27.0,4.0,8.0,0.0,22.0,0.0,0.0,8.0,7.0,2.1
9,nan,通　算,431.0,44.0,29.0,11.0,157.0,198.0,1.0,1.0,0.0,0.603,2136.0,523.1,441.0,37.0,178.0,20.0,465.0,4.0,1.0,174.0,164.0,2.82
