,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2006,北海道日本ハム,24,37,33,6,6,3,0,0,9,2,2,0,1,0,2,1,8,0,0.182,0.273,0.25
1,2007,北海道日本ハム,10,21,18,2,4,1,0,0,5,0,1,0,1,0,0,2,3,0,0.222,0.278,0.3
2,2008,東京ヤクルト,121,417,353,52,90,16,4,4,126,35,20,1,19,4,32,9,60,11,0.255,0.35700000000000004,0.32899999999999996
3,2009,東京ヤクルト,118,485,427,49,109,13,2,12,162,43,8,7,17,3,32,6,77,9,0.255,0.379,0.314
4,2011,東京ヤクルト,40,54,46,8,12,0,0,0,12,3,3,0,1,1,4,2,8,0,0.261,0.261,0.34
5,2013,東京ヤクルト,101,268,225,27,48,5,0,4,65,14,7,2,14,1,23,5,38,4,0.213,0.289,0.299
6,2014,東京ヤクルト,19,36,26,8,7,2,0,0,9,1,1,0,2,0,7,1,6,2,0.26899999999999996,0.34600000000000003,0.441
7,2014,福岡ソフトバンク,10,21,17,1,3,0,0,0,3,1,2,0,0,0,3,1,5,0,0.17600000000000002,0.17600000000000002,0.33299999999999996
8,2015,福岡ソフトバンク,77,194,157,34,43,6,4,2,63,20,7,2,9,3,22,3,29,2,0.27399999999999997,0.401,0.368
9,2016,福岡ソフトバンク,20,50,40,4,5,0,0,0,5,3,0,3,1,0,8,1,10,0,0.125,0.125,0.28600000000000003
10,2017,福岡ソフトバンク,81,137,110,23,29,7,0,5,51,13,2,2,6,1,18,2,24,1,0.264,0.46399999999999997,0.374
11,2018,福岡ソフトバンク,91,152,142,17,38,5,0,3,52,16,2,0,0,3,7,0,31,2,0.268,0.366,0.29600000000000004
12,2019,福岡ソフトバンク,47,88,66,14,24,5,1,1,34,8,4,1,2,2,17,1,9,3,0.364,0.515,0.488
13,2020,福岡ソフトバンク,59,162,137,21,36,4,0,4,52,9,0,4,2,0,19,4,17,2,0.263,0.38,0.369
14,nan,通　算,818,2122,1797,266,454,67,11,35,648,168,59,22,75,18,194,38,325,36,0.253,0.361,0.335
