,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2014,東京ヤクルト,61.0,3.0,4.0,5.0,19.0,22.0,0.0,0.0,0.0,0.429,276.0,71,52.0,10.0,19.0,0.0,62.0,0.0,0.0,20.0,18.0,2.28
1,2015,東京ヤクルト,74.0,6.0,1.0,0.0,22.0,28.0,0.0,0.0,0.0,0.857,305.0,76.1,51.0,6.0,28.0,6.0,81.0,2.0,0.0,24.0,20.0,2.36
2,2016,東京ヤクルト,70.0,3.0,4.0,19.0,10.0,13.0,0.0,0.0,0.0,0.429,279.0,70,50.0,6.0,15.0,6.0,68.0,1.0,0.0,17.0,17.0,2.19
3,2017,東京ヤクルト,43.0,5.0,6.0,10.0,10.0,15.0,0.0,0.0,0.0,0.455,177.0,43,38.0,3.0,11.0,1.0,39.0,2.0,0.0,17.0,16.0,3.35
4,2018,東京ヤクルト,35.0,2.0,2.0,0.0,6.0,8.0,0.0,0.0,0.0,0.5,166.0,38.1,40.0,5.0,12.0,2.0,24.0,0.0,0.0,20.0,18.0,4.23
5,2019,北海道日本ハム,53.0,0.0,5.0,25.0,7.0,7.0,0.0,0.0,0.0,0.0,212.0,51.2,38.0,6.0,19.0,2.0,48.0,0.0,0.0,19.0,17.0,2.96
6,2020,北海道日本ハム,33.0,1.0,2.0,12.0,4.0,5.0,0.0,0.0,0.0,0.33299999999999996,131.0,29.2,30.0,6.0,11.0,0.0,28.0,0.0,0.0,21.0,21.0,6.37
7,2021,北海道日本ハム,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,10,7.0,0.0,4.0,0.0,8.0,0.0,0.0,3.0,3.0,2.7
8,2022,福岡ソフトバンク,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2,4.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,13.5
9,nan,通　算,381.0,20.0,24.0,71.0,78.0,98.0,0.0,0.0,0.0,0.455,1598.0,392,310.0,43.0,119.0,17.0,359.0,5.0,0.0,144.0,133.0,3.05
