,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2014,福岡ソフトバンク,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,2015,福岡ソフトバンク,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2,2016,福岡ソフトバンク,13,7,6,1,1,1,0,0,2,1,0,0,0,0,1,0,4,0,0.16699999999999998,0.33299999999999996,0.28600000000000003
3,2017,福岡ソフトバンク,103,257,207,30,48,8,3,5,77,18,4,0,22,0,26,2,68,2,0.23199999999999998,0.37200000000000005,0.32299999999999995
4,2018,福岡ソフトバンク,133,363,314,27,67,13,1,7,103,37,2,1,23,0,26,0,79,6,0.213,0.32799999999999996,0.27399999999999997
5,2019,福岡ソフトバンク,137,454,377,42,98,15,0,11,146,43,9,4,23,3,50,1,114,9,0.26,0.387,0.34600000000000003
6,2020,福岡ソフトバンク,104,360,289,44,61,15,0,11,109,33,4,4,22,3,43,3,80,7,0.21100000000000002,0.377,0.317
7,2021,福岡ソフトバンク,143,479,405,42,92,15,0,12,143,44,6,6,26,2,44,2,142,7,0.22699999999999998,0.353,0.305
8,2022,福岡ソフトバンク,130,405,323,25,58,9,1,1,72,27,1,3,38,1,38,5,85,9,0.18,0.223,0.275
9,nan,通　算,765,2325,1921,211,425,76,5,47,652,203,26,18,154,9,228,13,572,40,0.221,0.33899999999999997,0.307
