,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2012,福岡ソフトバンク,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.1,6.0,0.0,5.0,0.0,2.0,0.0,0.0,8.0,6.0,12.46
1,2013,福岡ソフトバンク,40.0,3.0,1.0,0.0,4.0,7.0,0.0,0.0,0.0,0.75,215.0,54.1,38.0,0.0,16.0,2.0,50.0,3.0,0.0,17.0,14.0,2.32
2,2014,福岡ソフトバンク,32.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,164.0,36.2,44.0,3.0,9.0,1.0,40.0,2.0,1.0,14.0,13.0,3.19
3,2015,福岡ソフトバンク,16.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,63.0,15,14.0,2.0,5.0,1.0,14.0,0.0,0.0,7.0,7.0,4.2
4,2016,福岡ソフトバンク,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,7.1,9.0,4.0,4.0,1.0,8.0,1.0,0.0,7.0,7.0,8.59
5,2017,福岡ソフトバンク,58.0,2.0,0.0,0.0,14.0,16.0,0.0,0.0,0.0,1.0,143.0,32.2,31.0,1.0,11.0,5.0,47.0,1.0,0.0,11.0,10.0,2.76
6,2018,福岡ソフトバンク,67.0,2.0,1.0,0.0,25.0,27.0,0.0,0.0,0.0,0.667,129.0,33,17.0,3.0,11.0,2.0,28.0,0.0,0.0,11.0,9.0,2.45
7,2019,福岡ソフトバンク,54.0,2.0,2.0,1.0,19.0,21.0,0.0,0.0,0.0,0.5,128.0,31,29.0,1.0,5.0,4.0,26.0,0.0,0.0,13.0,9.0,2.61
8,2020,福岡ソフトバンク,50.0,3.0,1.0,0.0,18.0,21.0,0.0,0.0,0.0,0.75,117.0,30,18.0,1.0,10.0,2.0,33.0,0.0,0.0,7.0,7.0,2.1
9,2021,福岡ソフトバンク,58.0,1.0,0.0,0.0,19.0,20.0,0.0,0.0,0.0,1.0,121.0,28.2,22.0,2.0,13.0,1.0,27.0,0.0,0.0,16.0,15.0,4.71
10,2022,福岡ソフトバンク,56.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,109.0,27.1,18.0,1.0,11.0,1.0,22.0,0.0,0.0,3.0,3.0,0.99
11,nan,通　算,440.0,13.0,7.0,1.0,129.0,142.0,0.0,0.0,0.0,0.65,1248.0,300.1,246.0,18.0,100.0,20.0,297.0,7.0,1.0,114.0,100.0,3.0
