,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2011,阪　神,62.0,3.0,3.0,1.0,33.0,36.0,0.0,0.0,0.0,0.5,259.0,63.1,43.0,3.0,28.0,4.0,71.0,4.0,0.0,19.0,16.0,2.27
1,2012,阪　神,48.0,3.0,3.0,2.0,21.0,24.0,0.0,0.0,0.0,0.5,188.0,42.1,36.0,2.0,20.0,8.0,37.0,2.0,0.0,13.0,11.0,2.34
2,2013,阪　神,16.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308,389.0,92.1,70.0,11.0,38.0,8.0,78.0,5.0,0.0,39.0,37.0,3.61
3,2014,阪　神,24.0,2.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.667,216.0,44.2,60.0,2.0,20.0,6.0,42.0,3.0,0.0,38.0,35.0,7.05
4,2015,阪　神,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,8.2,9.0,1.0,4.0,1.0,8.0,0.0,0.0,11.0,10.0,10.38
5,2016,阪　神,35.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.5,174.0,39.2,39.0,6.0,16.0,3.0,32.0,2.0,0.0,19.0,19.0,4.31
6,2017,阪　神,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,30.0,6.1,10.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,1.0,1.42
7,2018,埼玉西武,23.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.733,566.0,132.2,132.0,14.0,40.0,14.0,98.0,0.0,0.0,53.0,49.0,3.32
8,2019,埼玉西武,13.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5710000000000001,319.0,69,86.0,12.0,21.0,9.0,33.0,2.0,0.0,54.0,50.0,6.52
9,2020,埼玉西武,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,103.0,24,26.0,4.0,6.0,1.0,9.0,0.0,0.0,14.0,14.0,5.25
10,nan,通　算,237.0,29.0,25.0,3.0,60.0,69.0,0.0,0.0,0.0,0.537,2286.0,523,511.0,55.0,195.0,54.0,414.0,18.0,0.0,262.0,242.0,4.16
