,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2013,埼玉西武,94,311,278,30,62,3,5,2,81,23,12,6,12,0,18,3,56,5,0.223,0.29100000000000004,0.278
1,2014,埼玉西武,91,272,243,32,60,10,3,2,82,16,21,6,12,1,14,2,48,2,0.247,0.337,0.292
2,2015,埼玉西武,57,176,156,22,35,4,3,1,48,6,11,7,10,0,10,0,43,0,0.22399999999999998,0.308,0.271
3,2016,埼玉西武,129,520,460,64,122,12,3,1,143,33,53,17,13,1,40,6,69,5,0.265,0.311,0.331
4,2017,埼玉西武,90,320,283,43,77,17,2,5,113,34,25,8,5,4,27,1,49,5,0.272,0.39899999999999997,0.33299999999999996
5,2018,埼玉西武,111,356,310,50,69,7,3,1,85,34,32,11,6,3,34,3,53,5,0.223,0.27399999999999997,0.303
6,2019,埼玉西武,133,524,463,60,116,8,1,3,135,33,41,10,6,3,49,3,81,3,0.251,0.292,0.324
7,2020,埼玉西武,86,338,301,41,75,7,0,3,91,21,14,9,5,3,29,0,55,5,0.249,0.302,0.312
8,2021,埼玉西武,101,220,198,24,38,7,1,0,47,9,9,9,6,2,12,2,39,7,0.192,0.237,0.243
9,nan,通　算,892,3037,2692,366,654,75,21,18,825,209,218,83,75,17,233,20,493,37,0.243,0.306,0.306
