,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2014,埼玉西武,14,34,30,3,3,0,0,2,9,3,0,0,0,0,4,0,10,0,0.1,0.3,0.20600000000000002
1,2015,埼玉西武,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0
2,2016,埼玉西武,49,157,139,24,36,4,0,14,82,32,0,0,2,0,15,1,36,1,0.259,0.59,0.335
3,2017,埼玉西武,78,293,242,46,72,19,0,23,160,61,0,1,0,0,46,5,72,7,0.298,0.6609999999999999,0.42
4,2018,埼玉西武,143,647,541,115,152,24,1,47,319,124,0,0,0,2,88,16,138,5,0.281,0.59,0.396
5,2019,埼玉西武,143,626,524,93,134,20,0,43,283,120,1,0,0,3,86,13,142,13,0.256,0.54,0.37200000000000005
6,2020,埼玉西武,102,401,322,47,66,7,0,24,145,73,0,0,0,2,64,13,100,6,0.205,0.45,0.35700000000000004
7,2021,埼玉西武,110,414,358,42,83,13,0,24,168,66,0,0,0,6,43,7,101,7,0.23199999999999998,0.469,0.321
8,2022,埼玉西武,129,528,448,62,119,17,0,41,259,90,0,0,0,1,68,11,114,12,0.266,0.578,0.375
9,nan,通　算,769,3101,2605,432,666,104,1,218,1426,570,1,1,2,14,414,66,713,51,0.256,0.547,0.37
