,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2011,埼玉西武,81,77,64,6,16,1,0,0,17,8,2,0,4,2,6,1,20,0,0.25,0.266,0.315
1,2012,埼玉西武,109,133,115,14,31,2,0,0,33,6,2,1,12,1,3,2,30,1,0.27,0.287,0.298
2,2013,埼玉西武,104,99,92,11,22,2,0,0,24,6,4,2,1,0,6,0,25,0,0.239,0.261,0.28600000000000003
3,2014,埼玉西武,46,140,115,10,25,4,1,0,31,6,1,1,6,0,19,0,29,1,0.217,0.27,0.32799999999999996
4,2015,埼玉西武,38,41,36,3,4,0,0,0,4,3,1,0,1,1,3,0,6,0,0.111,0.111,0.175
5,2016,埼玉西武,28,9,6,2,1,0,0,0,1,0,0,1,2,0,1,0,2,0,0.16699999999999998,0.16699999999999998,0.28600000000000003
6,2018,埼玉西武,25,10,9,6,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0.0,0.0,0.1
7,2019,埼玉西武,33,17,15,5,4,1,0,0,5,0,2,1,1,0,1,0,5,0,0.267,0.33299999999999996,0.313
8,2020,埼玉西武,38,11,10,2,1,0,0,0,1,0,2,0,0,0,1,0,3,0,0.1,0.1,0.182
9,2021,埼玉西武,60,9,7,8,2,0,0,0,2,0,1,1,1,0,0,1,1,0,0.28600000000000003,0.28600000000000003,0.375
10,nan,通　算,562,546,469,67,106,10,1,0,118,29,16,7,28,4,41,4,125,2,0.226,0.252,0.292
