,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,1999,西　武,25.0,16.0,5.0,0.0,,,6.0,2.0,0.0,0.762,743.0,180,124.0,14.0,87.0,8.0,151.0,5.0,2.0,55.0,52.0,2.6
1,2000,西　武,27.0,14.0,7.0,1.0,,,6.0,2.0,0.0,0.667,727.0,167.2,132.0,12.0,95.0,4.0,144.0,2.0,0.0,85.0,74.0,3.97
2,2001,西　武,33.0,15.0,15.0,0.0,,,12.0,2.0,1.0,0.5,1004.0,240.1,184.0,27.0,117.0,8.0,214.0,9.0,1.0,104.0,96.0,3.6
3,2002,西　武,14.0,6.0,2.0,0.0,,,2.0,0.0,0.0,0.75,302.0,73.1,60.0,13.0,15.0,7.0,78.0,2.0,1.0,30.0,30.0,3.68
4,2003,西　武,29.0,16.0,7.0,0.0,,,8.0,2.0,1.0,0.696,801.0,194,165.0,13.0,63.0,9.0,215.0,4.0,0.0,71.0,61.0,2.83
5,2004,西　武,23.0,10.0,6.0,0.0,,,10.0,5.0,0.0,0.625,601.0,146,127.0,7.0,42.0,6.0,127.0,5.0,0.0,50.0,47.0,2.9
6,2005,西　武,28.0,14.0,13.0,0.0,0.0,0.0,15.0,3.0,3.0,0.519,868.0,215,172.0,13.0,49.0,10.0,226.0,9.0,0.0,63.0,55.0,2.3
7,2006,西　武,25.0,17.0,5.0,0.0,0.0,0.0,13.0,2.0,2.0,0.773,722.0,186.1,138.0,13.0,34.0,3.0,200.0,5.0,0.0,50.0,44.0,2.13
8,2016,福岡ソフトバンク,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,3.0,0.0,2.0,2.0,2.0,1.0,0.0,5.0,2.0,18.0
9,2018,中　日,11.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,253.0,55.1,50.0,5.0,32.0,5.0,51.0,1.0,0.0,25.0,23.0,3.74
10,2019,中　日,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,5.1,12.0,0.0,2.0,3.0,2.0,0.0,0.0,10.0,10.0,16.88
11,2021,埼玉西武,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,nan,通　算,219.0,114.0,65.0,1.0,0.0,0.0,72.0,18.0,7.0,0.637,6064.0,1464.1,1167.0,117.0,539.0,65.0,1410.0,43.0,4.0,548.0,494.0,3.04
