,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2007,北海道日本ハム,19.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5710000000000001,400.0,93.1,83.0,6.0,46.0,5.0,52.0,6.0,0.0,39.0,38.0,3.66
1,2008,北海道日本ハム,7.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,158.0,34.2,39.0,7.0,22.0,0.0,23.0,5.0,0.0,24.0,24.0,6.23
2,2009,北海道日本ハム,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,16.1,19.0,2.0,10.0,0.0,18.0,0.0,0.0,17.0,12.0,6.61
3,2010,北海道日本ハム,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,26,35.0,7.0,11.0,1.0,20.0,2.0,0.0,21.0,20.0,6.92
4,2011,北海道日本ハム,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,38,45.0,4.0,20.0,1.0,25.0,1.0,0.0,20.0,20.0,4.74
5,2012,北海道日本ハム,25.0,14.0,5.0,0.0,0.0,0.0,5.0,3.0,2.0,0.737,668.0,173.2,108.0,6.0,45.0,4.0,158.0,3.0,1.0,35.0,33.0,1.71
6,2013,北海道日本ハム,26.0,7.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.318,686.0,160.1,150.0,10.0,57.0,5.0,125.0,3.0,0.0,72.0,59.0,3.31
7,2014,北海道日本ハム,13.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,329.0,72,79.0,7.0,36.0,2.0,49.0,3.0,0.0,45.0,39.0,4.88
8,2015,北海道日本ハム,26.0,11.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.579,684.0,159.1,151.0,16.0,57.0,11.0,93.0,3.0,0.0,72.0,68.0,3.84
9,2016,北海道日本ハム,27.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5379999999999999,494.0,109.2,125.0,9.0,52.0,5.0,65.0,1.0,0.0,53.0,51.0,4.19
10,2017,読　売,12.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,181.0,38.1,51.0,4.0,15.0,4.0,28.0,2.0,0.0,28.0,25.0,5.87
11,2018,読　売,22.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462,431.0,101.1,93.0,16.0,39.0,4.0,76.0,3.0,0.0,49.0,48.0,4.26
12,2019,読　売,9.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,35.0,6.1,12.0,2.0,6.0,0.0,4.0,0.0,0.0,7.0,7.0,9.95
13,2019,北海道日本ハム,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.2,11.0,2.0,7.0,0.0,8.0,0.0,0.0,8.0,8.0,6.75
14,2020,北海道日本ハム,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,5.1,5.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,2.0,3.38
15,2021,埼玉西武,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.1,8.0,1.0,6.0,0.0,0.0,0.0,0.0,8.0,8.0,16.62
16,nan,通　算,219.0,55.0,70.0,3.0,3.0,3.0,9.0,4.0,2.0,0.44,4540.0,1049.2,1014.0,99.0,433.0,42.0,745.0,33.0,1.0,500.0,462.0,3.96
