,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2009,埼玉西武,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.2,4.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,3.0,7.36
1,2010,埼玉西武,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,73.0,16.1,13.0,0.0,11.0,0.0,15.0,1.0,1.0,4.0,4.0,2.2
2,2011,埼玉西武,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,2012,埼玉西武,14.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.33299999999999996,145.0,31.2,34.0,2.0,12.0,4.0,17.0,4.0,0.0,21.0,17.0,4.83
4,2013,埼玉西武,9.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.5,54.0,13.2,10.0,3.0,6.0,0.0,4.0,1.0,0.0,5.0,5.0,3.29
5,2014,埼玉西武,47.0,0.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,206.0,48.2,39.0,2.0,22.0,2.0,33.0,3.0,0.0,20.0,20.0,3.7
6,2015,埼玉西武,67.0,6.0,1.0,1.0,11.0,17.0,0.0,0.0,0.0,0.857,255.0,57.1,55.0,1.0,36.0,1.0,36.0,4.0,0.0,18.0,18.0,2.83
7,2016,埼玉西武,64.0,5.0,3.0,0.0,14.0,19.0,0.0,0.0,0.0,0.625,261.0,61,58.0,5.0,20.0,1.0,53.0,3.0,0.0,24.0,24.0,3.54
8,2017,埼玉西武,58.0,5.0,2.0,0.0,13.0,18.0,0.0,0.0,0.0,0.7140000000000001,234.0,57.1,47.0,3.0,16.0,3.0,36.0,1.0,0.0,21.0,20.0,3.14
9,2018,埼玉西武,35.0,1.0,2.0,0.0,9.0,10.0,0.0,0.0,0.0,0.33299999999999996,140.0,29.2,36.0,4.0,19.0,3.0,22.0,0.0,0.0,22.0,21.0,6.37
10,2019,埼玉西武,10.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,68.0,14.2,14.0,1.0,12.0,1.0,5.0,0.0,0.0,11.0,10.0,6.14
11,2020,埼玉西武,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,3.2,9.0,0.0,7.0,0.0,4.0,0.0,0.0,11.0,9.0,22.09
12,2021,埼玉西武,46.0,0.0,2.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,120.0,30.2,17.0,2.0,14.0,0.0,25.0,0.0,0.0,7.0,6.0,1.76
13,nan,通　算,365.0,21.0,15.0,1.0,68.0,87.0,0.0,0.0,0.0,0.583,1608.0,370.1,337.0,23.0,177.0,15.0,254.0,17.0,1.0,167.0,157.0,3.82
