,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2011,中　日,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2012,中　日,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4,4.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,2.0,4.5
2,2013,中　日,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3,3.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,6.0
3,2014,中　日,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,12.1,11.0,1.0,12.0,0.0,5.0,3.0,0.0,9.0,5.0,3.65
4,2015,中　日,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,9.0
5,2016,中　日,44.0,1.0,1.0,0.0,9.0,10.0,0.0,0.0,0.0,0.5,126.0,31.2,21.0,1.0,9.0,3.0,34.0,1.0,0.0,10.0,8.0,2.27
6,2017,中　日,18.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,55.0,12.1,11.0,0.0,5.0,3.0,9.0,1.0,0.0,3.0,3.0,2.19
7,2018,埼玉西武,15.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,46.0,11.1,11.0,0.0,3.0,1.0,7.0,0.0,0.0,3.0,2.0,1.59
8,2019,埼玉西武,55.0,4.0,1.0,1.0,15.0,19.0,0.0,0.0,0.0,0.8,157.0,38.1,35.0,4.0,12.0,3.0,28.0,4.0,0.0,12.0,11.0,2.58
9,2020,埼玉西武,38.0,2.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.667,109.0,25.2,22.0,1.0,14.0,1.0,13.0,2.0,0.0,6.0,6.0,2.1
10,nan,通　算,182.0,8.0,5.0,1.0,35.0,43.0,0.0,0.0,0.0,0.615,597.0,141.2,121.0,9.0,59.0,13.0,101.0,12.0,0.0,49.0,41.0,2.6
