,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2004,西　武,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.33299999999999996,0.33299999999999996,0.33299999999999996
1,2005,西　武,84,316,286,45,85,11,2,10,130,28,1,0,2,1,24,3,59,4,0.297,0.455,0.35700000000000004
2,2006,西　武,63,164,142,18,38,8,1,2,54,22,3,1,4,0,16,2,32,2,0.268,0.38,0.35
3,2007,西　武,112,362,302,39,84,18,2,5,121,29,8,3,9,1,45,5,53,8,0.278,0.401,0.38
4,2008,埼玉西武,138,612,527,76,167,31,3,11,237,72,17,8,22,8,49,6,61,8,0.317,0.45,0.376
5,2009,埼玉西武,140,643,569,78,152,24,6,12,224,57,18,5,8,3,53,10,106,9,0.267,0.39399999999999996,0.33899999999999997
6,2010,埼玉西武,144,660,554,77,172,35,2,4,223,74,14,5,18,3,80,5,69,7,0.31,0.40299999999999997,0.4
7,2011,埼玉西武,144,653,557,87,171,30,2,3,214,60,6,2,9,6,73,8,90,17,0.307,0.384,0.391
8,2012,埼玉西武,103,467,394,57,114,17,1,2,139,33,3,1,12,3,52,6,62,4,0.289,0.353,0.37799999999999995
9,2013,埼玉西武,144,637,527,77,147,29,3,12,218,73,6,3,1,4,99,6,96,8,0.27899999999999997,0.414,0.396
10,2014,埼玉西武,144,642,532,64,153,34,4,3,204,61,3,2,2,9,96,3,100,9,0.28800000000000003,0.38299999999999995,0.39399999999999996
11,2015,埼玉西武,142,622,533,66,143,25,0,10,198,42,3,1,8,4,72,5,88,15,0.268,0.371,0.358
12,2016,埼玉西武,135,569,477,52,133,30,2,3,176,41,0,0,0,3,83,6,87,9,0.27899999999999997,0.369,0.39
13,2017,埼玉西武,116,374,333,28,84,13,0,9,124,46,0,0,4,7,27,3,64,10,0.252,0.37200000000000005,0.308
14,2018,埼玉西武,114,363,305,32,78,18,1,8,122,52,1,0,0,3,52,3,78,5,0.256,0.4,0.366
15,2019,埼玉西武,123,466,409,35,103,21,0,7,145,54,0,0,3,3,48,3,100,13,0.252,0.355,0.33299999999999996
16,2020,埼玉西武,111,428,372,37,101,22,0,12,159,67,0,0,0,2,53,1,77,10,0.272,0.42700000000000005,0.36200000000000004
17,2021,埼玉西武,117,446,387,33,97,15,0,4,124,43,1,0,0,7,49,3,58,11,0.251,0.32,0.33399999999999996
18,2022,埼玉西武,89,267,239,20,63,14,0,3,86,29,0,1,0,4,23,1,57,9,0.264,0.36,0.326
19,nan,通　算,2164,8694,7448,921,2086,395,29,120,2899,883,84,32,102,71,994,79,1338,158,0.28,0.389,0.368
