,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2013,埼玉西武,42.0,5.0,3.0,0.0,5.0,10.0,0.0,0.0,0.0,0.625,237.0,52.2,60.0,3.0,19.0,1.0,44.0,1.0,0.0,25.0,22.0,3.76
1,2014,埼玉西武,44.0,3.0,4.0,0.0,22.0,25.0,0.0,0.0,0.0,0.429,181.0,44.2,35.0,3.0,13.0,1.0,37.0,0.0,0.0,14.0,14.0,2.82
2,2015,埼玉西武,72.0,2.0,4.0,3.0,40.0,42.0,0.0,0.0,0.0,0.33299999999999996,302.0,74,64.0,1.0,15.0,4.0,62.0,2.0,0.0,26.0,25.0,3.04
3,2016,埼玉西武,53.0,3.0,5.0,28.0,5.0,8.0,0.0,0.0,0.0,0.375,232.0,54.1,51.0,1.0,15.0,2.0,53.0,0.0,0.0,13.0,10.0,1.66
4,2017,埼玉西武,57.0,1.0,5.0,28.0,4.0,5.0,0.0,0.0,0.0,0.16699999999999998,220.0,56.1,41.0,7.0,13.0,0.0,58.0,0.0,0.0,17.0,15.0,2.4
5,2018,埼玉西武,41.0,2.0,4.0,14.0,2.0,4.0,0.0,0.0,0.0,0.33299999999999996,170.0,38.1,44.0,5.0,9.0,2.0,23.0,1.0,0.0,23.0,22.0,5.17
6,2019,埼玉西武,65.0,4.0,1.0,30.0,7.0,11.0,0.0,0.0,0.0,0.8,272.0,69.2,51.0,5.0,10.0,0.0,74.0,0.0,0.0,15.0,14.0,1.81
7,2020,埼玉西武,48.0,5.0,0.0,33.0,1.0,6.0,0.0,0.0,0.0,1.0,196.0,49,41.0,3.0,10.0,2.0,42.0,0.0,0.0,11.0,11.0,2.02
8,2021,埼玉西武,33.0,0.0,3.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,131.0,30.2,32.0,4.0,7.0,1.0,23.0,1.0,0.0,17.0,17.0,4.99
9,2022,埼玉西武,52.0,2.0,5.0,31.0,5.0,7.0,0.0,0.0,0.0,0.28600000000000003,200.0,51.1,37.0,7.0,10.0,0.0,34.0,0.0,0.0,14.0,14.0,2.45
10,nan,通　算,507.0,27.0,34.0,175.0,100.0,127.0,0.0,0.0,0.0,0.44299999999999995,2141.0,521,456.0,39.0,121.0,13.0,450.0,5.0,0.0,175.0,164.0,2.83
