,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2003,西　武,4,14,12,0,2,1,0,0,3,2,1,0,0,0,2,0,6,1,0.16699999999999998,0.25,0.28600000000000003
1,2004,西　武,28,37,33,8,9,1,0,2,16,5,0,0,0,0,2,2,10,1,0.273,0.485,0.35100000000000003
2,2005,西　武,80,259,237,40,62,13,1,22,143,57,0,2,0,1,16,5,62,7,0.262,0.603,0.32
3,2006,西　武,100,323,283,47,78,16,0,9,121,29,4,2,3,0,29,8,78,9,0.276,0.428,0.359
4,2007,西　武,98,267,226,29,52,16,0,7,89,32,2,0,11,1,22,7,71,3,0.23,0.39399999999999996,0.316
5,2008,埼玉西武,143,590,524,90,128,24,4,46,298,101,2,1,3,3,53,7,162,10,0.244,0.569,0.32
6,2009,埼玉西武,128,562,501,91,143,37,1,48,326,122,3,1,0,2,52,7,154,8,0.285,0.6509999999999999,0.359
7,2010,埼玉西武,85,354,304,50,71,14,2,25,164,57,1,0,0,3,44,3,111,7,0.23399999999999999,0.539,0.33299999999999996
8,2011,埼玉西武,144,622,525,97,141,30,0,48,315,116,4,1,0,6,79,12,134,15,0.26899999999999996,0.6,0.373
9,2012,埼玉西武,123,498,432,54,100,16,1,27,199,79,2,3,0,1,56,9,125,11,0.231,0.461,0.331
10,2013,埼玉西武,26,114,96,8,20,2,0,4,34,15,0,0,0,2,16,0,38,1,0.20800000000000002,0.354,0.316
11,2014,埼玉西武,111,466,382,68,98,19,1,34,221,90,0,0,0,3,79,2,124,13,0.257,0.579,0.384
12,2015,埼玉西武,139,599,521,82,145,35,0,37,291,124,1,0,0,3,68,7,172,12,0.278,0.5589999999999999,0.36700000000000005
13,2016,埼玉西武,108,432,387,45,92,14,2,21,173,61,2,1,0,2,40,3,125,9,0.23800000000000002,0.447,0.313
14,2017,埼玉西武,115,486,415,69,90,14,0,27,185,79,1,0,0,6,61,4,118,12,0.217,0.446,0.319
15,2018,埼玉西武,97,392,355,53,94,14,1,28,194,74,1,0,0,2,33,2,112,11,0.265,0.546,0.32899999999999996
16,2019,埼玉西武,135,557,496,69,142,30,0,30,262,123,2,1,0,3,54,4,123,12,0.28600000000000003,0.528,0.359
17,2020,埼玉西武,79,297,258,32,55,14,0,9,96,31,0,1,0,2,34,3,75,7,0.213,0.37200000000000005,0.31
18,2021,埼玉西武,123,475,430,50,122,13,0,18,189,74,0,0,0,4,39,2,114,12,0.284,0.44,0.34299999999999997
19,2022,埼玉西武,88,294,276,24,54,8,0,12,98,31,0,0,0,1,14,3,76,7,0.196,0.355,0.24100000000000002
20,nan,通　算,1954,7638,6693,1006,1698,331,13,454,3417,1302,26,13,17,45,793,90,1990,168,0.254,0.511,0.33899999999999997
