,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2004,読　売,3.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,60.0,14,14.0,1.0,4.0,0.0,13.0,0.0,0.0,8.0,8.0,5.14
1,2005,読　売,26.0,4.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.308,507.0,114.1,138.0,18.0,31.0,4.0,76.0,5.0,0.0,74.0,64.0,5.04
2,2006,読　売,31.0,12.0,13.0,0.0,1.0,1.0,6.0,2.0,0.0,0.48,795.0,194,163.0,13.0,52.0,7.0,179.0,9.0,0.0,69.0,60.0,2.78
3,2007,読　売,28.0,14.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,0.667,780.0,187.2,183.0,16.0,48.0,11.0,180.0,5.0,0.0,66.0,63.0,3.02
4,2008,読　売,29.0,12.0,8.0,0.0,0.0,0.0,2.0,1.0,2.0,0.6,772.0,184.1,166.0,7.0,68.0,7.0,154.0,3.0,0.0,71.0,56.0,2.73
5,2009,読　売,27.0,9.0,11.0,0.0,0.0,0.0,5.0,1.0,3.0,0.45,730.0,179.2,161.0,23.0,36.0,4.0,115.0,3.0,0.0,66.0,59.0,2.96
6,2010,読　売,27.0,11.0,8.0,0.0,0.0,0.0,2.0,1.0,1.0,0.579,636.0,148,168.0,14.0,32.0,4.0,121.0,1.0,0.0,84.0,72.0,4.38
7,2011,読　売,28.0,18.0,5.0,0.0,0.0,2.0,4.0,1.0,0.0,0.7829999999999999,751.0,185.2,153.0,13.0,47.0,7.0,144.0,4.0,0.0,42.0,35.0,1.7
8,2012,読　売,28.0,15.0,6.0,0.0,0.0,0.0,3.0,2.0,0.0,0.7140000000000001,757.0,186,173.0,8.0,40.0,9.0,121.0,8.0,0.0,47.0,41.0,1.98
9,2013,読　売,25.0,13.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.684,675.0,160.1,157.0,11.0,47.0,6.0,107.0,2.0,0.0,68.0,59.0,3.31
10,2014,読　売,22.0,7.0,9.0,0.0,0.0,0.0,2.0,2.0,2.0,0.43799999999999994,603.0,144.2,139.0,11.0,36.0,5.0,105.0,5.0,0.0,51.0,51.0,3.17
11,2015,読　売,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,104.0,23.1,30.0,4.0,6.0,0.0,10.0,1.0,0.0,15.0,13.0,5.01
12,2016,読　売,18.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,442.0,107.1,104.0,10.0,22.0,5.0,81.0,2.0,0.0,47.0,47.0,3.94
13,2017,読　売,12.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,258.0,57.2,66.0,10.0,18.0,3.0,34.0,3.0,1.0,37.0,37.0,5.77
14,2018,読　売,15.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,358.0,82,95.0,11.0,19.0,3.0,56.0,3.0,0.0,38.0,38.0,4.17
15,2020,埼玉西武,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,83.0,19,18.0,3.0,6.0,1.0,12.0,0.0,0.0,12.0,9.0,4.26
16,2021,埼玉西武,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,7,11.0,2.0,5.0,0.0,3.0,1.0,0.0,6.0,6.0,7.71
17,nan,通　算,330.0,135.0,103.0,0.0,2.0,4.0,28.0,12.0,8.0,0.5670000000000001,8347.0,1995,1939.0,175.0,517.0,76.0,1511.0,55.0,1.0,801.0,718.0,3.24
