,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2013,読　売,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3,4.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
1,2016,読　売,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,11.2,10.0,1.0,3.0,2.0,12.0,1.0,0.0,5.0,5.0,3.86
2,2017,北海道日本ハム,41.0,3.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,154.0,36.2,39.0,2.0,8.0,2.0,33.0,2.0,0.0,11.0,11.0,2.7
3,2018,北海道日本ハム,57.0,2.0,0.0,0.0,11.0,13.0,0.0,0.0,0.0,1.0,226.0,54,51.0,3.0,14.0,1.0,52.0,3.0,0.0,15.0,13.0,2.17
4,2019,北海道日本ハム,61.0,2.0,0.0,1.0,17.0,19.0,0.0,0.0,0.0,1.0,213.0,52.1,41.0,5.0,18.0,1.0,31.0,1.0,0.0,24.0,23.0,3.96
5,2020,北海道日本ハム,29.0,0.0,2.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,116.0,24,33.0,3.0,11.0,0.0,19.0,0.0,0.0,24.0,21.0,7.88
6,2021,北海道日本ハム,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,7.1,12.0,1.0,2.0,1.0,6.0,0.0,1.0,3.0,3.0,3.68
7,2021,埼玉西武,14.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,43.0,11.1,8.0,0.0,3.0,0.0,8.0,0.0,0.0,1.0,1.0,0.79
8,2022,埼玉西武,18.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,36.0,9,5.0,0.0,5.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
9,nan,通　算,245.0,7.0,2.0,2.0,49.0,56.0,0.0,0.0,0.0,0.778,885.0,209.1,203.0,15.0,65.0,8.0,173.0,7.0,1.0,83.0,77.0,3.31
