,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2012,埼玉西武,41.0,6.0,0.0,0.0,9.0,14.0,0.0,0.0,0.0,1.0,223.0,53,50.0,4.0,17.0,3.0,41.0,1.0,0.0,16.0,16.0,2.72
1,2013,埼玉西武,28.0,8.0,8.0,0.0,1.0,1.0,6.0,2.0,2.0,0.5,688.0,164.1,158.0,12.0,44.0,9.0,122.0,3.0,1.0,68.0,63.0,3.45
2,2014,埼玉西武,21.0,4.0,5.0,3.0,2.0,3.0,1.0,1.0,0.0,0.444,255.0,59,59.0,6.0,24.0,2.0,41.0,1.0,0.0,27.0,24.0,3.66
3,2015,埼玉西武,26.0,11.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.611,644.0,152,145.0,19.0,53.0,8.0,107.0,1.0,0.0,62.0,60.0,3.55
4,2016,埼玉西武,21.0,4.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.4,335.0,71.1,85.0,3.0,31.0,9.0,41.0,2.0,0.0,55.0,50.0,6.31
5,2017,埼玉西武,20.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5329999999999999,500.0,116.1,125.0,10.0,35.0,3.0,83.0,0.0,0.0,50.0,44.0,3.4
6,2018,埼玉西武,22.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,535.0,124.1,114.0,16.0,56.0,6.0,82.0,2.0,0.0,65.0,61.0,4.42
7,2019,埼玉西武,19.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,444.0,102,106.0,12.0,31.0,4.0,57.0,1.0,2.0,56.0,51.0,4.5
8,2020,埼玉西武,8.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33299999999999996,117.0,24,30.0,5.0,13.0,3.0,13.0,4.0,0.0,21.0,20.0,7.5
9,nan,通　算,206.0,52.0,49.0,3.0,13.0,21.0,8.0,3.0,2.0,0.515,3741.0,866.1,872.0,87.0,304.0,47.0,587.0,15.0,3.0,420.0,389.0,4.04
