,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2010,埼玉西武,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,12.2,16.0,1.0,6.0,0.0,7.0,0.0,0.0,9.0,7.0,4.97
1,2012,埼玉西武,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,8.1,10.0,1.0,6.0,0.0,6.0,0.0,0.0,6.0,6.0,6.48
2,2014,埼玉西武,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,7,11.0,1.0,5.0,1.0,2.0,0.0,0.0,5.0,5.0,6.43
3,2015,埼玉西武,18.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,105.0,26.2,23.0,1.0,7.0,0.0,13.0,0.0,0.0,4.0,4.0,1.35
4,2016,千葉ロッテ,17.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,68.0,16.1,16.0,2.0,5.0,2.0,11.0,1.0,0.0,5.0,5.0,2.76
5,2017,千葉ロッテ,13.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,50.0,13.2,5.0,0.0,4.0,1.0,6.0,1.0,0.0,3.0,3.0,1.98
6,2018,千葉ロッテ,32.0,2.0,1.0,0.0,5.0,7.0,0.0,0.0,0.0,0.667,113.0,26.1,27.0,3.0,5.0,1.0,16.0,1.0,0.0,13.0,13.0,4.44
7,2019,千葉ロッテ,44.0,4.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.8,166.0,39.2,42.0,2.0,12.0,3.0,29.0,0.0,0.0,12.0,12.0,2.72
8,2020,千葉ロッテ,8.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,30.0,7.1,5.0,1.0,4.0,0.0,8.0,0.0,0.0,2.0,2.0,2.45
9,2021,千葉ロッテ,38.0,1.0,2.0,0.0,10.0,11.0,0.0,0.0,0.0,0.33299999999999996,156.0,33.2,42.0,3.0,13.0,2.0,20.0,3.0,0.0,18.0,17.0,4.54
10,nan,通　算,194.0,10.0,8.0,2.0,20.0,30.0,0.0,0.0,0.0,0.556,823.0,191.2,197.0,15.0,67.0,10.0,118.0,6.0,0.0,77.0,74.0,3.47
