,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2007,千葉ロッテ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4,7.0,1.0,1.0,1.0,4.0,0.0,0.0,5.0,5.0,11.25
1,2008,千葉ロッテ,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,137.0,32.2,32.0,5.0,8.0,1.0,23.0,2.0,0.0,19.0,19.0,5.23
2,2009,千葉ロッテ,16.0,5.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.455,428.0,95,115.0,11.0,35.0,5.0,59.0,2.0,0.0,62.0,61.0,5.78
3,2010,千葉ロッテ,13.0,3.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.33299999999999996,320.0,71.1,78.0,12.0,34.0,3.0,52.0,1.0,0.0,48.0,41.0,5.17
4,2011,千葉ロッテ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.1,3.0,1.0,4.0,0.0,1.0,0.0,0.0,5.0,5.0,33.75
5,2013,千葉ロッテ,10.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.667,197.0,43.1,43.0,2.0,26.0,2.0,29.0,1.0,0.0,23.0,22.0,4.57
6,2014,千葉ロッテ,13.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,241.0,54.2,60.0,4.0,20.0,1.0,31.0,2.0,0.0,32.0,21.0,3.46
7,2015,千葉ロッテ,24.0,8.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5329999999999999,574.0,133.1,141.0,8.0,46.0,5.0,70.0,1.0,0.0,49.0,47.0,3.17
8,2016,千葉ロッテ,14.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.25,175.0,34.2,47.0,1.0,26.0,2.0,14.0,1.0,0.0,31.0,25.0,6.49
9,2017,千葉ロッテ,20.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,142.0,30.2,33.0,4.0,22.0,0.0,21.0,0.0,0.0,19.0,13.0,3.82
10,2020,千葉ロッテ,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,9,15.0,1.0,6.0,0.0,9.0,0.0,0.0,9.0,9.0,9.0
11,nan,通　算,121.0,28.0,34.0,0.0,1.0,3.0,6.0,4.0,1.0,0.452,2291.0,510,574.0,50.0,228.0,20.0,313.0,10.0,0.0,302.0,268.0,4.73
