,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2011,東北楽天,23.0,2.0,1.0,0.0,5.0,7.0,0.0,0.0,0.0,0.667,102.0,26.1,19.0,1.0,4.0,1.0,13.0,2.0,0.0,9.0,9.0,3.08
1,2012,東北楽天,23.0,8.0,10.0,0.0,0.0,1.0,2.0,0.0,0.0,0.444,633.0,154.2,142.0,12.0,36.0,5.0,108.0,5.0,0.0,55.0,53.0,3.08
2,2013,東北楽天,18.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545,430.0,98.1,118.0,11.0,31.0,8.0,63.0,7.0,0.0,46.0,45.0,4.12
3,2014,東北楽天,14.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,327.0,72.2,84.0,4.0,25.0,7.0,51.0,0.0,0.0,41.0,39.0,4.83
4,2015,東北楽天,16.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,380.0,86.1,102.0,9.0,21.0,1.0,62.0,5.0,0.0,45.0,33.0,3.44
5,2016,東北楽天,26.0,9.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,678.0,155,181.0,14.0,32.0,8.0,116.0,5.0,1.0,80.0,74.0,4.3
6,2017,東北楽天,26.0,11.0,8.0,0.0,0.0,0.0,3.0,1.0,1.0,0.579,684.0,171.1,155.0,18.0,33.0,4.0,134.0,4.0,1.0,66.0,62.0,3.26
7,2018,東北楽天,14.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,340.0,79,88.0,12.0,23.0,3.0,41.0,1.0,0.0,42.0,40.0,4.56
8,2019,東北楽天,25.0,8.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.615,600.0,143.2,146.0,19.0,24.0,4.0,112.0,3.0,0.0,69.0,64.0,4.01
9,2020,千葉ロッテ,19.0,10.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7140000000000001,517.0,123,130.0,9.0,25.0,0.0,88.0,3.0,0.0,62.0,54.0,3.95
10,2021,千葉ロッテ,21.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462,506.0,115.1,139.0,15.0,32.0,4.0,92.0,4.0,0.0,72.0,63.0,4.92
11,2022,千葉ロッテ,20.0,10.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.625,481.0,117.2,107.0,9.0,29.0,3.0,86.0,6.0,0.0,40.0,38.0,2.91
12,nan,通　算,245.0,77.0,77.0,0.0,5.0,8.0,10.0,3.0,5.0,0.5,5678.0,1343.1,1411.0,133.0,315.0,48.0,966.0,45.0,2.0,627.0,574.0,3.85
