,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2014,北海道日本ハム,15,39,35,3,4,0,0,0,4,0,1,1,1,0,3,0,8,0,0.114,0.114,0.184
1,2015,北海道日本ハム,101,294,259,35,61,14,0,4,87,26,18,3,10,1,17,7,64,8,0.23600000000000002,0.336,0.299
2,2016,北海道日本ハム,41,154,131,28,49,7,0,2,62,12,9,1,3,1,15,4,27,4,0.374,0.473,0.45
3,2017,北海道日本ハム,60,132,124,15,21,4,1,0,27,7,6,2,3,1,4,0,34,4,0.16899999999999998,0.218,0.19399999999999998
4,2018,北海道日本ハム,28,60,52,11,8,3,0,0,11,7,5,0,2,0,4,2,12,3,0.154,0.212,0.24100000000000002
5,2018,千葉ロッテ,51,166,142,19,29,5,0,3,43,13,7,2,2,2,15,5,30,3,0.204,0.303,0.299
6,2019,千葉ロッテ,95,182,154,36,35,8,1,6,63,16,13,1,3,1,18,6,32,5,0.22699999999999998,0.409,0.33
7,2020,千葉ロッテ,62,64,56,12,8,0,0,0,8,2,7,3,1,0,7,0,18,1,0.14300000000000002,0.14300000000000002,0.23800000000000002
8,2021,千葉ロッテ,110,185,161,31,39,6,0,6,63,18,11,1,5,0,14,5,44,6,0.242,0.391,0.322
9,2022,千葉ロッテ,98,248,207,29,45,11,2,6,78,19,12,0,5,3,24,9,56,4,0.217,0.377,0.321
10,nan,通　算,661,1524,1321,219,299,58,4,27,446,120,89,14,35,9,121,38,325,38,0.226,0.33799999999999997,0.308
