,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2010,福岡ソフトバンク,44,29,23,15,6,2,0,0,8,3,3,0,4,0,2,0,8,0,0.261,0.348,0.32
1,2011,福岡ソフトバンク,97,244,218,30,55,7,3,1,71,22,22,2,16,1,4,5,48,1,0.252,0.326,0.281
2,2012,福岡ソフトバンク,63,55,53,12,10,1,0,0,11,5,13,0,1,0,1,0,18,0,0.18899999999999997,0.20800000000000002,0.204
3,2013,福岡ソフトバンク,33,28,25,4,3,1,1,0,6,1,1,0,2,0,1,0,10,0,0.12,0.24,0.154
4,2015,福岡ソフトバンク,84,183,168,28,39,11,2,1,57,14,10,4,3,0,12,0,35,1,0.23199999999999998,0.33899999999999997,0.28300000000000003
5,2016,福岡ソフトバンク,81,239,212,30,49,5,4,3,71,18,11,3,4,2,20,1,51,2,0.231,0.335,0.298
6,2017,福岡ソフトバンク,104,113,104,15,19,2,1,3,32,16,4,2,3,0,6,0,34,1,0.183,0.308,0.22699999999999998
7,2018,福岡ソフトバンク,110,128,118,28,31,6,0,7,58,15,6,1,4,0,4,2,35,6,0.263,0.49200000000000005,0.298
8,2019,福岡ソフトバンク,80,183,166,27,43,8,0,9,78,26,9,3,4,2,11,0,48,1,0.259,0.47,0.302
9,2020,千葉ロッテ,62,225,204,20,44,11,1,5,72,19,3,5,4,0,17,0,73,3,0.21600000000000003,0.353,0.276
10,nan,通　算,758,1427,1291,209,299,54,12,29,464,139,82,20,45,5,78,8,360,15,0.23199999999999998,0.359,0.27899999999999997
