,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2008,千葉ロッテ,20,50,48,4,8,2,0,0,10,4,0,0,1,0,1,0,15,1,0.16699999999999998,0.20800000000000002,0.184
1,2010,千葉ロッテ,6,22,22,4,6,1,0,0,7,3,0,0,0,0,0,0,7,0,0.273,0.318,0.273
2,2011,千葉ロッテ,22,60,58,2,7,1,1,2,16,5,0,0,1,0,1,0,28,2,0.121,0.276,0.136
3,2012,千葉ロッテ,19,28,23,2,3,1,0,1,7,3,0,1,1,1,3,0,10,1,0.13,0.304,0.222
4,2013,千葉ロッテ,84,116,102,18,22,2,0,2,30,8,1,0,3,1,10,0,29,2,0.21600000000000003,0.294,0.28300000000000003
5,2014,千葉ロッテ,45,39,33,6,7,0,0,0,7,0,1,1,2,0,3,1,8,1,0.212,0.212,0.297
6,2015,千葉ロッテ,16,14,10,4,3,0,0,0,3,2,1,0,0,1,3,0,1,0,0.3,0.3,0.429
7,2016,千葉ロッテ,116,404,371,45,102,23,4,3,142,40,9,4,11,1,18,3,93,6,0.275,0.38299999999999995,0.313
8,2017,千葉ロッテ,41,106,100,8,19,3,2,2,32,13,0,0,1,0,5,0,38,2,0.19,0.32,0.22899999999999998
9,2018,千葉ロッテ,21,27,22,4,4,1,0,0,5,1,1,0,1,0,4,0,3,0,0.182,0.22699999999999998,0.308
10,2019,千葉ロッテ,29,20,19,3,3,1,0,0,4,1,0,0,0,0,1,0,7,0,0.158,0.21100000000000002,0.2
11,2020,千葉ロッテ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
12,nan,通　算,420,886,808,100,184,35,7,10,263,80,13,6,21,4,49,4,239,15,0.228,0.325,0.27399999999999997
