,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2008,千葉ロッテ,15.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.556,358.0,81.2,102.0,8.0,12.0,3.0,57.0,1.0,0.0,52.0,44.0,4.85
1,2009,千葉ロッテ,21.0,5.0,8.0,0.0,0.0,0.0,3.0,1.0,2.0,0.385,596.0,143.1,145.0,11.0,28.0,6.0,115.0,0.0,0.0,62.0,58.0,3.64
2,2010,千葉ロッテ,11.0,6.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.667,306.0,73,69.0,3.0,20.0,4.0,51.0,1.0,0.0,24.0,22.0,2.71
3,2011,千葉ロッテ,24.0,12.0,6.0,0.0,0.0,0.0,5.0,3.0,2.0,0.667,681.0,168.1,146.0,6.0,35.0,8.0,122.0,1.0,0.0,50.0,45.0,2.41
4,2012,千葉ロッテ,12.0,8.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.8,341.0,84.2,81.0,4.0,15.0,2.0,32.0,0.0,1.0,26.0,25.0,2.66
5,2013,千葉ロッテ,27.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,728.0,168,185.0,12.0,46.0,3.0,80.0,2.0,0.0,85.0,78.0,4.18
6,2014,千葉ロッテ,23.0,4.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0,0.308,520.0,116,146.0,10.0,33.0,8.0,62.0,3.0,1.0,65.0,60.0,4.66
7,2015,千葉ロッテ,12.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556,288.0,62.2,78.0,9.0,27.0,3.0,31.0,1.0,0.0,45.0,44.0,6.32
8,2016,千葉ロッテ,15.0,6.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,373.0,88.2,84.0,2.0,37.0,3.0,64.0,1.0,3.0,30.0,28.0,2.84
9,2017,千葉ロッテ,21.0,5.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33299999999999996,555.0,126.1,135.0,18.0,37.0,7.0,86.0,1.0,2.0,69.0,63.0,4.49
10,2018,千葉ロッテ,25.0,1.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.25,188.0,47.2,43.0,5.0,10.0,1.0,31.0,0.0,0.0,17.0,15.0,2.83
11,2019,千葉ロッテ,40.0,5.0,3.0,0.0,14.0,19.0,0.0,0.0,0.0,0.625,168.0,37.2,47.0,7.0,6.0,1.0,30.0,0.0,0.0,25.0,22.0,5.26
12,2020,千葉ロッテ,32.0,1.0,1.0,0.0,14.0,15.0,0.0,0.0,0.0,0.5,118.0,30.1,22.0,1.0,9.0,0.0,23.0,0.0,0.0,4.0,4.0,1.19
13,2021,千葉ロッテ,38.0,4.0,2.0,0.0,22.0,26.0,0.0,0.0,0.0,0.667,150.0,36.1,29.0,4.0,13.0,1.0,26.0,1.0,0.0,11.0,11.0,2.72
14,2022,千葉ロッテ,17.0,2.0,1.0,0.0,8.0,10.0,0.0,0.0,0.0,0.667,63.0,15.1,14.0,3.0,2.0,1.0,8.0,0.0,0.0,9.0,9.0,5.28
15,nan,通　算,333.0,78.0,73.0,0.0,63.0,75.0,17.0,6.0,6.0,0.517,5433.0,1280,1326.0,103.0,330.0,51.0,818.0,12.0,7.0,574.0,528.0,3.71
