,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2011,千葉ロッテ,19,56,48,4,10,1,0,0,11,0,0,0,7,0,1,0,21,0,0.20800000000000002,0.22899999999999998,0.22399999999999998
1,2012,千葉ロッテ,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
2,2013,千葉ロッテ,6,14,14,1,3,0,0,0,3,0,0,0,0,0,0,0,2,1,0.214,0.214,0.214
3,2014,千葉ロッテ,36,78,69,12,16,1,3,0,23,7,0,1,3,0,6,0,11,1,0.23199999999999998,0.33299999999999996,0.293
4,2015,千葉ロッテ,33,45,42,5,12,2,0,0,14,4,0,0,2,0,1,0,11,0,0.28600000000000003,0.33299999999999996,0.302
5,2016,千葉ロッテ,53,158,144,19,31,6,0,3,46,13,0,0,6,0,8,0,30,2,0.215,0.319,0.257
6,2017,千葉ロッテ,28,38,35,1,6,2,0,0,8,1,0,0,0,0,3,0,6,4,0.171,0.22899999999999998,0.237
7,2018,千葉ロッテ,10,12,12,0,3,0,0,0,3,0,0,0,0,0,0,0,2,0,0.25,0.25,0.25
8,2019,千葉ロッテ,8,7,7,0,2,2,0,0,4,3,0,0,0,0,0,0,3,0,0.28600000000000003,0.5710000000000001,0.28600000000000003
9,2021,千葉ロッテ,17,9,8,0,1,0,0,0,1,2,0,0,0,0,1,0,2,1,0.125,0.125,0.222
10,nan,通　算,212,420,382,42,84,14,3,3,113,30,0,1,18,0,20,0,90,9,0.22,0.29600000000000004,0.259
