,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2004,阪　神,101,261,235,28,59,13,0,3,81,17,2,2,2,0,21,3,66,6,0.251,0.345,0.32
1,2005,阪　神,146,646,572,82,159,27,1,9,215,52,5,5,10,4,53,6,115,11,0.278,0.376,0.34299999999999997
2,2006,阪　神,146,609,543,65,157,28,2,15,234,58,5,3,4,0,60,2,111,10,0.289,0.431,0.36200000000000004
3,2007,阪　神,144,642,565,67,154,19,4,10,211,43,7,4,8,1,63,5,106,8,0.273,0.373,0.35
4,2008,阪　神,144,605,523,66,147,17,6,13,215,80,4,7,5,5,68,4,85,10,0.281,0.41100000000000003,0.365
5,2009,阪　神,144,617,538,84,155,31,2,20,250,75,7,7,5,4,65,5,83,13,0.28800000000000003,0.465,0.368
6,2010,阪　神,144,651,575,98,173,31,6,19,273,104,13,3,2,5,66,3,93,14,0.301,0.475,0.373
7,2011,阪　神,144,590,500,71,150,28,7,5,207,51,16,3,3,5,78,4,72,10,0.3,0.414,0.395
8,2012,阪　神,144,624,515,62,135,22,6,8,193,59,15,4,5,8,94,2,91,12,0.262,0.375,0.373
9,2013,阪　神,144,643,532,74,150,30,4,10,218,65,15,7,1,2,104,4,65,12,0.282,0.41,0.402
10,2014,阪　神,144,644,550,96,172,28,2,8,228,73,10,6,1,4,87,2,80,14,0.313,0.415,0.406
11,2015,阪　神,143,646,551,69,155,21,4,6,202,42,9,6,2,3,89,1,77,8,0.281,0.36700000000000005,0.38
12,2016,阪　神,143,533,449,49,106,16,1,7,145,36,13,3,1,6,75,2,80,12,0.23600000000000002,0.32299999999999995,0.344
13,2017,阪　神,143,570,488,57,143,23,3,4,184,41,8,7,1,2,77,2,62,13,0.293,0.377,0.39
14,2018,阪　神,121,261,220,15,51,11,0,1,65,22,1,1,3,3,34,1,37,6,0.23199999999999998,0.295,0.33299999999999996
15,2019,阪　神,74,105,92,9,19,3,1,0,24,4,1,0,1,0,12,0,16,2,0.207,0.261,0.298
16,2020,千葉ロッテ,42,39,36,5,5,2,0,0,7,6,0,1,0,0,1,2,8,0,0.139,0.19399999999999998,0.205
17,2021,千葉ロッテ,32,61,53,7,9,3,0,0,12,2,0,0,0,0,8,0,11,0,0.17,0.226,0.27899999999999997
18,nan,通　算,2243,8747,7537,1004,2099,353,49,138,2964,830,131,69,54,52,1055,48,1258,161,0.278,0.39299999999999996,0.368
