,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2010,千葉ロッテ,11.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.5,70.0,15,22.0,2.0,4.0,0.0,5.0,0.0,0.0,12.0,12.0,7.2
1,2011,千葉ロッテ,34.0,3.0,9.0,0.0,5.0,5.0,0.0,0.0,0.0,0.25,497.0,120,123.0,8.0,23.0,3.0,78.0,1.0,0.0,49.0,45.0,3.38
2,2012,千葉ロッテ,42.0,4.0,6.0,0.0,5.0,7.0,0.0,0.0,0.0,0.4,345.0,81.2,84.0,1.0,19.0,1.0,44.0,2.0,0.0,30.0,29.0,3.2
3,2013,千葉ロッテ,14.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28600000000000003,222.0,47.2,59.0,8.0,16.0,4.0,27.0,0.0,0.0,38.0,37.0,6.99
4,2014,千葉ロッテ,49.0,2.0,2.0,0.0,23.0,25.0,0.0,0.0,0.0,0.5,230.0,60.1,45.0,2.0,10.0,4.0,40.0,0.0,0.0,13.0,13.0,1.94
5,2015,千葉ロッテ,56.0,3.0,1.0,0.0,32.0,35.0,0.0,0.0,0.0,0.75,250.0,64,57.0,4.0,5.0,2.0,53.0,1.0,0.0,21.0,17.0,2.39
6,2016,千葉ロッテ,32.0,1.0,3.0,0.0,13.0,14.0,0.0,0.0,0.0,0.25,135.0,31.1,32.0,2.0,10.0,1.0,15.0,0.0,0.0,14.0,12.0,3.45
7,2017,千葉ロッテ,55.0,3.0,2.0,0.0,23.0,26.0,0.0,0.0,0.0,0.6,214.0,52,47.0,5.0,14.0,1.0,33.0,1.0,0.0,20.0,18.0,3.12
8,2018,千葉ロッテ,45.0,1.0,3.0,0.0,18.0,19.0,0.0,0.0,0.0,0.25,191.0,41.2,50.0,9.0,17.0,1.0,36.0,2.0,0.0,25.0,25.0,5.4
9,2019,千葉ロッテ,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.2,2.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,10.8
10,nan,通　算,340.0,20.0,34.0,0.0,120.0,133.0,0.0,0.0,0.0,0.37,2164.0,515.1,521.0,41.0,120.0,17.0,332.0,7.0,0.0,225.0,210.0,3.67
