,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2007,千葉ロッテ,9,17,17,2,4,0,0,0,4,2,0,1,0,0,0,0,4,1,0.235,0.235,0.235
1,2008,千葉ロッテ,10,23,18,2,2,0,0,1,5,1,0,0,1,0,4,0,4,0,0.111,0.278,0.273
2,2009,千葉ロッテ,10,21,18,1,3,0,1,0,5,1,1,0,1,0,2,0,5,0,0.16699999999999998,0.278,0.25
3,2010,千葉ロッテ,13,23,18,1,0,0,0,0,0,0,0,0,1,0,4,0,6,0,0.0,0.0,0.182
4,2011,千葉ロッテ,51,171,154,9,41,5,1,0,48,10,2,0,1,3,9,4,30,2,0.266,0.312,0.318
5,2012,千葉ロッテ,128,525,477,51,149,30,5,3,198,61,8,4,1,4,38,5,68,9,0.312,0.415,0.366
6,2013,千葉ロッテ,125,525,462,65,133,26,6,5,186,43,10,6,6,3,50,4,63,3,0.28800000000000003,0.40299999999999997,0.36
7,2014,千葉ロッテ,133,544,451,62,125,22,5,8,181,57,9,1,7,4,76,6,66,4,0.27699999999999997,0.401,0.385
8,2015,千葉ロッテ,111,484,427,57,125,20,5,6,173,52,8,4,7,2,47,1,52,12,0.293,0.405,0.363
9,2016,千葉ロッテ,143,607,525,74,178,30,5,8,242,69,12,4,2,6,68,6,64,8,0.33899999999999997,0.461,0.41700000000000004
10,2017,千葉ロッテ,110,452,383,44,103,17,4,8,152,44,6,1,1,2,62,4,44,6,0.26899999999999996,0.397,0.375
11,2018,千葉ロッテ,112,470,411,44,109,23,2,7,157,57,3,3,0,6,48,5,63,9,0.265,0.382,0.345
12,2019,千葉ロッテ,108,435,368,47,95,17,1,8,138,48,2,2,3,4,55,5,63,10,0.258,0.375,0.359
13,2020,千葉ロッテ,84,254,217,21,53,9,3,2,74,15,2,0,7,1,24,5,41,7,0.244,0.341,0.332
14,nan,通　算,1147,4551,3946,480,1120,199,38,56,1563,460,63,26,38,35,487,45,573,71,0.284,0.396,0.366
