,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2013,千葉ロッテ,7,7,7,0,2,0,0,0,2,1,0,0,0,0,0,0,1,0,0.28600000000000003,0.28600000000000003,0.28600000000000003
1,2014,千葉ロッテ,50,148,128,5,20,4,1,0,26,10,0,0,9,0,10,1,27,2,0.156,0.203,0.223
2,2015,千葉ロッテ,117,365,305,26,52,10,1,2,70,32,3,2,22,4,33,1,69,3,0.17,0.23,0.251
3,2016,千葉ロッテ,130,430,371,27,95,16,3,2,123,38,6,0,17,3,38,1,91,12,0.256,0.332,0.324
4,2017,千葉ロッテ,132,359,311,31,77,12,3,3,104,36,4,2,17,4,26,1,68,7,0.248,0.33399999999999996,0.304
5,2018,千葉ロッテ,143,476,415,32,99,14,7,3,136,35,3,3,16,2,40,3,68,13,0.239,0.32799999999999996,0.309
6,2019,千葉ロッテ,100,321,284,30,69,12,1,3,92,31,1,2,12,3,22,0,59,8,0.243,0.324,0.294
7,2020,千葉ロッテ,92,237,203,12,44,7,0,4,63,23,1,1,10,1,20,3,45,3,0.217,0.31,0.295
8,2021,千葉ロッテ,70,165,136,14,32,7,1,0,41,14,1,0,10,2,17,0,33,1,0.235,0.301,0.316
9,nan,通　算,841,2508,2160,177,490,82,17,17,657,220,19,10,113,19,206,10,461,49,0.22699999999999998,0.304,0.295
