,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2004,千葉ロッテ,4.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,81.0,16,21.0,4.0,12.0,1.0,15.0,2.0,0.0,19.0,19.0,10.69
1,2006,千葉ロッテ,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,20.2,19.0,2.0,7.0,1.0,15.0,1.0,0.0,8.0,7.0,3.05
2,2009,千葉ロッテ,31.0,3.0,1.0,1.0,6.0,9.0,0.0,0.0,0.0,0.75,112.0,26,25.0,3.0,12.0,1.0,29.0,4.0,0.0,18.0,18.0,6.23
3,2010,千葉ロッテ,15.0,2.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,1.0,85.0,20,14.0,1.0,10.0,1.0,20.0,2.0,0.0,12.0,10.0,4.5
4,2011,千葉ロッテ,21.0,1.0,1.0,0.0,10.0,11.0,0.0,0.0,0.0,0.5,100.0,24.2,17.0,1.0,7.0,2.0,24.0,1.0,0.0,6.0,6.0,2.19
5,2012,千葉ロッテ,27.0,1.0,1.0,4.0,9.0,10.0,0.0,0.0,0.0,0.5,102.0,25,23.0,2.0,4.0,3.0,23.0,0.0,0.0,7.0,5.0,1.8
6,2013,千葉ロッテ,26.0,1.0,0.0,2.0,13.0,14.0,0.0,0.0,0.0,1.0,102.0,25.2,18.0,0.0,10.0,0.0,26.0,1.0,0.0,3.0,3.0,1.05
7,2014,千葉ロッテ,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,28.0,5.1,9.0,1.0,2.0,0.0,6.0,0.0,0.0,4.0,3.0,5.06
8,2015,千葉ロッテ,22.0,1.0,1.0,6.0,7.0,8.0,0.0,0.0,0.0,0.5,88.0,21.1,18.0,0.0,8.0,2.0,21.0,1.0,0.0,5.0,3.0,1.27
9,2016,千葉ロッテ,34.0,3.0,1.0,1.0,19.0,22.0,0.0,0.0,0.0,0.75,125.0,32.1,17.0,3.0,12.0,0.0,34.0,1.0,0.0,5.0,5.0,1.39
10,2017,千葉ロッテ,50.0,5.0,1.0,16.0,11.0,16.0,0.0,0.0,0.0,0.833,211.0,49,36.0,5.0,28.0,0.0,44.0,1.0,0.0,16.0,16.0,2.94
11,2018,千葉ロッテ,58.0,3.0,5.0,26.0,7.0,10.0,0.0,0.0,0.0,0.375,241.0,58.2,51.0,5.0,19.0,1.0,54.0,2.0,0.0,25.0,25.0,3.84
12,nan,通　算,308.0,20.0,12.0,56.0,87.0,107.0,0.0,0.0,0.0,0.625,1364.0,324.2,268.0,27.0,131.0,12.0,311.0,16.0,0.0,128.0,120.0,3.33
