,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2013,千葉ロッテ,64,134,117,6,20,2,0,0,22,7,0,1,12,1,4,0,34,7,0.171,0.188,0.19699999999999998
1,2014,千葉ロッテ,44,61,53,5,11,1,0,0,12,1,0,0,5,0,3,0,12,1,0.20800000000000002,0.226,0.25
2,2015,千葉ロッテ,14,7,6,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0.0,0.0,0.14300000000000002
3,2016,千葉ロッテ,22,24,23,1,3,1,0,0,4,4,0,0,0,0,1,0,10,1,0.13,0.174,0.16699999999999998
4,2017,千葉ロッテ,13,6,6,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0.16699999999999998,0.16699999999999998,0.16699999999999998
5,2018,千葉ロッテ,35,18,16,0,1,0,0,0,1,0,0,0,1,0,1,0,5,1,0.063,0.063,0.11800000000000001
6,2019,千葉ロッテ,23,35,31,3,3,0,0,1,6,4,0,0,2,0,2,0,10,2,0.09699999999999999,0.19399999999999998,0.152
7,2020,千葉ロッテ,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
8,2021,千葉ロッテ,19,10,6,0,1,0,0,0,1,0,1,0,2,0,2,0,4,0,0.16699999999999998,0.16699999999999998,0.375
9,nan,通　算,239,301,264,18,40,4,0,1,47,16,1,1,22,1,13,1,79,14,0.152,0.17800000000000002,0.19399999999999998
