,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2002,西　武,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
1,2003,西　武,93,216,195,21,39,12,1,5,68,14,1,2,9,0,9,2,64,4,0.2,0.349,0.243
2,2004,西　武,116,366,313,34,68,21,1,11,124,39,2,1,23,1,22,6,104,5,0.217,0.396,0.281
3,2005,西　武,113,348,289,25,56,12,1,8,94,32,0,0,27,1,29,2,86,4,0.19399999999999998,0.325,0.271
4,2006,西　武,99,312,266,22,53,13,1,7,89,27,0,0,26,1,15,4,68,3,0.19899999999999998,0.335,0.252
5,2007,西　武,139,448,393,39,94,20,0,10,144,43,2,2,21,5,20,9,96,8,0.239,0.366,0.28800000000000003
6,2008,埼玉西武,133,446,404,42,96,20,1,16,166,58,0,0,23,3,12,3,129,11,0.23800000000000002,0.41100000000000003,0.263
7,2009,埼玉西武,46,114,102,8,18,5,0,4,35,13,0,0,6,0,6,0,44,1,0.17600000000000002,0.34299999999999997,0.222
8,2010,埼玉西武,112,341,293,28,56,10,2,8,94,33,1,1,23,0,20,5,84,4,0.191,0.321,0.255
9,2011,福岡ソフトバンク,97,264,219,16,44,7,1,1,56,20,1,0,34,2,7,2,55,1,0.201,0.256,0.23
10,2012,福岡ソフトバンク,92,217,185,5,29,3,0,2,38,13,0,1,21,2,8,1,50,1,0.157,0.205,0.19399999999999998
11,2013,福岡ソフトバンク,112,274,227,20,44,12,0,5,71,30,0,3,25,0,15,7,64,3,0.19399999999999998,0.313,0.265
12,2014,福岡ソフトバンク,112,294,247,14,47,9,0,5,71,32,0,0,29,3,12,3,83,3,0.19,0.287,0.23399999999999999
13,2015,福岡ソフトバンク,59,114,95,4,11,5,0,0,16,5,0,0,9,1,9,0,37,2,0.11599999999999999,0.168,0.19
14,2016,福岡ソフトバンク,49,115,93,6,21,2,0,1,26,6,1,0,15,0,6,1,28,4,0.226,0.28,0.28
15,2017,東北楽天,20,23,20,1,2,0,0,1,5,1,0,0,3,0,0,0,9,0,0.1,0.25,0.1
16,2018,東北楽天,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
17,2019,千葉ロッテ,31,8,6,0,2,0,0,0,2,1,0,0,2,0,0,0,1,0,0.33299999999999996,0.33299999999999996,0.33299999999999996
18,2020,千葉ロッテ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
19,nan,通　算,1428,3907,3354,285,680,151,8,84,1099,367,8,10,296,19,190,45,1005,54,0.203,0.32799999999999996,0.254
