,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2010,千葉ロッテ,46,217,175,29,57,9,2,1,73,17,25,3,21,3,16,2,24,2,0.326,0.41700000000000004,0.38299999999999995
1,2011,千葉ロッテ,23,103,91,14,24,4,0,0,28,10,14,1,3,1,7,1,6,1,0.264,0.308,0.32
2,2012,千葉ロッテ,61,187,165,18,37,5,0,1,45,8,13,3,6,0,11,5,17,0,0.22399999999999998,0.273,0.293
3,2013,千葉ロッテ,102,397,335,52,92,14,3,4,124,28,26,3,17,3,32,9,26,4,0.275,0.37,0.35100000000000003
4,2014,千葉ロッテ,40,155,142,26,37,10,2,3,60,12,15,1,5,0,8,0,14,1,0.261,0.423,0.3
5,2015,千葉ロッテ,82,309,279,42,75,9,2,2,94,13,18,5,9,1,16,4,38,5,0.26899999999999996,0.337,0.317
6,2016,千葉ロッテ,71,219,192,35,48,11,1,3,70,21,16,2,9,0,14,4,25,3,0.25,0.365,0.314
7,2017,千葉ロッテ,103,394,356,53,94,22,1,5,133,24,26,3,10,1,25,2,44,6,0.264,0.374,0.315
8,2018,千葉ロッテ,78,351,317,52,91,15,3,2,118,25,20,6,9,3,13,9,25,6,0.287,0.37200000000000005,0.33
9,2019,千葉ロッテ,125,569,508,76,160,35,7,10,239,46,28,10,9,4,40,8,56,4,0.315,0.47,0.371
10,2020,千葉ロッテ,53,236,203,30,59,17,0,1,79,10,19,4,6,1,24,2,23,2,0.29100000000000004,0.389,0.37
11,2021,千葉ロッテ,143,643,570,86,169,33,5,10,242,45,24,11,5,3,53,12,70,5,0.29600000000000004,0.425,0.36700000000000005
12,2022,千葉ロッテ,89,373,326,51,101,18,4,5,142,27,15,3,5,5,30,7,30,7,0.31,0.436,0.375
13,nan,通　算,1016,4153,3659,564,1044,202,30,47,1447,286,259,55,114,25,289,65,398,46,0.285,0.395,0.34600000000000003
