,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2012,千葉ロッテ,72.0,2.0,2.0,1.0,41.0,43.0,0.0,0.0,0.0,0.5,308.0,75.1,61.0,2.0,19.0,2.0,57.0,2.0,0.0,25.0,14.0,1.67
1,2013,千葉ロッテ,68.0,2.0,6.0,33.0,9.0,11.0,0.0,0.0,0.0,0.25,268.0,62,65.0,3.0,16.0,4.0,66.0,3.0,0.0,24.0,19.0,2.76
2,2014,千葉ロッテ,52.0,7.0,3.0,1.0,23.0,30.0,0.0,0.0,0.0,0.7,226.0,51,56.0,3.0,16.0,2.0,57.0,2.0,0.0,28.0,28.0,4.94
3,2015,千葉ロッテ,51.0,3.0,2.0,0.0,11.0,14.0,0.0,0.0,0.0,0.6,227.0,53,48.0,2.0,21.0,2.0,42.0,7.0,0.0,23.0,23.0,3.91
4,2016,千葉ロッテ,61.0,3.0,2.0,14.0,21.0,24.0,0.0,0.0,0.0,0.6,238.0,59,53.0,2.0,16.0,0.0,36.0,1.0,0.0,13.0,12.0,1.83
5,2017,千葉ロッテ,38.0,0.0,4.0,9.0,6.0,6.0,0.0,0.0,0.0,0.0,162.0,35.1,46.0,8.0,15.0,0.0,29.0,1.0,0.0,20.0,20.0,5.09
6,2018,千葉ロッテ,70.0,2.0,6.0,3.0,17.0,19.0,0.0,0.0,0.0,0.25,264.0,64.1,44.0,6.0,27.0,3.0,61.0,2.0,0.0,26.0,22.0,3.08
7,2019,千葉ロッテ,60.0,4.0,5.0,27.0,12.0,16.0,0.0,0.0,0.0,0.444,229.0,58.2,36.0,5.0,22.0,2.0,56.0,1.0,0.0,15.0,14.0,2.15
8,2020,千葉ロッテ,54.0,3.0,5.0,31.0,5.0,8.0,0.0,0.0,0.0,0.375,214.0,52,42.0,1.0,17.0,2.0,53.0,4.0,0.0,15.0,13.0,2.25
9,nan,通　算,526.0,26.0,35.0,119.0,145.0,171.0,0.0,0.0,0.0,0.426,2136.0,510.2,451.0,32.0,169.0,17.0,457.0,23.0,0.0,189.0,165.0,2.91
