,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2011,読　売,29.0,11.0,11.0,0.0,0.0,0.0,5.0,1.0,1.0,0.5,786.0,200,149.0,14.0,45.0,5.0,174.0,5.0,3.0,53.0,45.0,2.03
1,2012,読　売,27.0,10.0,10.0,0.0,0.0,0.0,2.0,1.0,0.0,0.5,716.0,169.2,172.0,12.0,54.0,4.0,138.0,2.0,0.0,56.0,54.0,2.86
2,2013,読　売,34.0,5.0,10.0,0.0,6.0,7.0,3.0,1.0,0.0,0.33299999999999996,654.0,158.1,138.0,18.0,43.0,5.0,148.0,5.0,0.0,58.0,55.0,3.13
3,2014,読　売,12.0,5.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.625,299.0,72.2,69.0,3.0,14.0,2.0,66.0,5.0,0.0,31.0,30.0,3.72
4,2015,読　売,60.0,7.0,3.0,36.0,3.0,10.0,0.0,0.0,0.0,0.7,282.0,68.1,58.0,4.0,21.0,3.0,60.0,2.0,0.0,12.0,10.0,1.32
5,2016,読　売,63.0,6.0,4.0,37.0,4.0,10.0,0.0,0.0,0.0,0.6,271.0,64.1,60.0,5.0,22.0,1.0,55.0,9.0,1.0,20.0,19.0,2.66
6,2018,読　売,49.0,1.0,6.0,0.0,24.0,25.0,0.0,0.0,0.0,0.14300000000000002,238.0,52.1,55.0,4.0,27.0,3.0,54.0,3.0,0.0,29.0,27.0,4.64
7,2019,読　売,43.0,2.0,2.0,1.0,13.0,15.0,0.0,0.0,0.0,0.5,197.0,48.1,40.0,3.0,17.0,3.0,55.0,1.0,0.0,14.0,14.0,2.61
8,2020,読　売,13.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.5,64.0,13.1,14.0,1.0,8.0,2.0,11.0,0.0,0.0,9.0,9.0,6.08
9,2020,千葉ロッテ,22.0,0.0,2.0,1.0,13.0,13.0,0.0,0.0,0.0,0.0,82.0,21,10.0,2.0,10.0,0.0,29.0,3.0,0.0,4.0,4.0,1.71
10,nan,通　算,352.0,48.0,52.0,75.0,64.0,83.0,12.0,4.0,1.0,0.48,3589.0,868.1,765.0,66.0,261.0,28.0,790.0,35.0,4.0,286.0,267.0,2.77
