,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2012,千葉ロッテ,26.0,1.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,1.0,110.0,25,19.0,0.0,15.0,1.0,22.0,1.0,0.0,1.0,1.0,0.36
1,2013,千葉ロッテ,28.0,3.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,151.0,31.1,30.0,1.0,29.0,0.0,28.0,7.0,0.0,14.0,14.0,4.02
2,2014,千葉ロッテ,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,22.2,18.0,3.0,15.0,1.0,23.0,3.0,0.0,18.0,17.0,6.75
3,2016,千葉ロッテ,57.0,5.0,4.0,0.0,16.0,21.0,0.0,0.0,0.0,0.556,253.0,62.1,48.0,4.0,19.0,1.0,58.0,2.0,1.0,20.0,19.0,2.74
4,2017,千葉ロッテ,19.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,81.0,17.2,21.0,3.0,10.0,0.0,13.0,0.0,0.0,11.0,10.0,5.09
5,2018,千葉ロッテ,35.0,2.0,2.0,0.0,6.0,8.0,0.0,0.0,0.0,0.5,152.0,33,37.0,0.0,17.0,1.0,29.0,2.0,0.0,13.0,11.0,3.0
6,2019,千葉ロッテ,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.2,4.0,1.0,4.0,0.0,3.0,0.0,0.0,5.0,5.0,12.27
7,2020,千葉ロッテ,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,7.1,5.0,2.0,5.0,0.0,6.0,1.0,0.0,4.0,4.0,4.91
8,2021,千葉ロッテ,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,nan,通　算,190.0,11.0,8.0,0.0,37.0,48.0,0.0,0.0,0.0,0.579,901.0,203.1,182.0,14.0,114.0,4.0,183.0,16.0,1.0,86.0,81.0,3.59
