,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2010,千葉ロッテ,64,223,186,34,54,11,0,2,71,18,5,1,11,1,19,6,51,3,0.29,0.382,0.373
1,2011,千葉ロッテ,78,262,238,16,58,21,0,3,88,25,2,1,3,3,15,3,63,2,0.244,0.37,0.293
2,2012,千葉ロッテ,87,292,253,28,71,15,2,3,99,29,5,5,3,2,34,0,46,5,0.281,0.391,0.363
3,2013,千葉ロッテ,68,223,184,23,47,9,2,3,69,18,3,2,6,2,29,2,51,5,0.255,0.375,0.359
4,2014,千葉ロッテ,24,59,47,8,8,2,1,4,24,10,0,1,2,0,8,2,16,1,0.17,0.511,0.316
5,2015,千葉ロッテ,130,548,489,67,155,38,4,15,246,67,10,4,0,2,54,3,93,11,0.317,0.503,0.387
6,2016,千葉ロッテ,106,417,365,39,82,17,1,6,119,38,5,0,3,0,40,9,76,12,0.225,0.326,0.316
7,2017,千葉ロッテ,79,263,231,28,47,8,1,3,66,21,3,0,5,0,24,3,61,8,0.203,0.28600000000000003,0.287
8,2018,千葉ロッテ,96,303,261,18,59,10,1,2,77,27,2,2,6,4,32,0,63,8,0.226,0.295,0.306
9,2019,千葉ロッテ,117,377,336,49,85,8,2,10,127,57,1,3,2,2,35,2,77,6,0.253,0.37799999999999995,0.325
10,2020,千葉ロッテ,70,209,180,18,50,13,0,7,84,23,0,0,5,0,22,2,52,6,0.278,0.467,0.363
11,nan,通　算,919,3176,2770,328,716,152,14,58,1070,333,36,19,46,16,312,32,649,67,0.258,0.386,0.33899999999999997
