,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2003,ヤクルト,30,35,30,2,6,2,0,0,8,4,0,0,5,0,0,0,15,1,0.2,0.267,0.2
1,2004,ヤクルト,10,17,16,0,5,0,0,0,5,0,0,0,1,0,0,0,7,0,0.313,0.313,0.313
2,2005,ヤクルト,18,18,13,1,2,0,0,1,5,2,0,0,4,0,1,0,9,1,0.154,0.385,0.214
3,2006,東京ヤクルト,36,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
4,2007,東京ヤクルト,52,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0
5,2008,東京ヤクルト,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
6,2009,東京ヤクルト,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
7,2012,東京ヤクルト,47,153,143,14,40,4,0,0,44,8,2,3,3,0,7,0,19,0,0.28,0.308,0.313
8,2013,東京ヤクルト,13,43,37,6,11,4,1,2,23,3,0,0,0,0,6,0,10,0,0.297,0.622,0.395
9,2014,東京ヤクルト,141,597,547,97,173,28,3,23,276,90,10,2,1,0,48,1,103,11,0.316,0.505,0.37200000000000005
10,2015,東京ヤクルト,141,585,551,57,149,33,4,8,214,60,7,4,1,3,27,3,82,7,0.27,0.38799999999999996,0.307
11,2016,東京ヤクルト,108,436,412,44,122,20,0,7,163,55,7,1,1,2,21,0,51,9,0.29600000000000004,0.396,0.32899999999999996
12,2017,東京ヤクルト,71,300,281,29,86,21,0,2,113,32,2,3,0,2,12,5,42,5,0.306,0.402,0.34299999999999997
13,2018,東京ヤクルト,125,482,446,50,142,19,1,11,196,67,6,1,0,2,33,1,62,13,0.318,0.439,0.365
14,2019,東京ヤクルト,131,493,447,55,122,19,0,12,177,56,4,3,1,6,37,2,71,4,0.273,0.396,0.327
15,2020,東京ヤクルト,43,113,103,6,23,4,0,0,27,9,3,0,0,3,6,1,23,2,0.223,0.262,0.265
16,nan,通　算,968,3275,3028,362,881,154,9,66,1251,386,41,17,18,18,198,13,494,53,0.29100000000000004,0.413,0.335
