,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2010,東京ヤクルト,18,21,20,0,2,0,0,0,2,0,0,0,1,0,0,0,9,0,0.1,0.1,0.1
1,2011,東京ヤクルト,3,8,8,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0.125,0.125,0.125
2,2012,東京ヤクルト,6,5,5,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.2,0.2,0.2
3,2013,東京ヤクルト,12,44,43,6,11,1,0,1,15,3,0,1,1,0,0,0,3,0,0.256,0.349,0.256
4,2014,東京ヤクルト,55,168,149,23,41,3,1,2,52,12,1,2,2,0,16,1,25,2,0.275,0.349,0.349
5,2015,東京ヤクルト,73,196,170,21,43,8,0,2,57,12,5,3,8,1,16,1,30,3,0.253,0.335,0.319
6,2016,東京ヤクルト,61,131,111,14,27,5,1,1,37,9,2,1,9,0,9,2,20,5,0.243,0.33299999999999996,0.311
7,2017,東京ヤクルト,91,212,188,22,39,8,2,6,69,25,2,0,7,0,14,3,30,7,0.207,0.36700000000000005,0.273
8,2018,東京ヤクルト,62,109,87,12,19,3,0,3,31,21,3,0,3,2,13,4,27,2,0.218,0.35600000000000004,0.34
9,2019,東京ヤクルト,93,140,124,12,31,6,0,2,43,22,1,0,0,1,13,2,29,1,0.25,0.34700000000000003,0.32899999999999996
10,2020,東京ヤクルト,63,84,73,10,12,1,1,1,18,7,0,0,3,1,6,1,18,3,0.16399999999999998,0.247,0.235
11,nan,通　算,537,1118,978,122,227,35,5,18,326,111,14,7,34,5,87,14,195,24,0.23199999999999998,0.33299999999999996,0.303
