,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2007,東北楽天,125,354,312,33,57,6,0,2,69,16,3,2,20,1,20,1,74,6,0.183,0.221,0.23399999999999999
1,2008,東北楽天,85,223,196,20,45,13,0,0,58,19,4,1,11,0,16,0,40,6,0.23,0.29600000000000004,0.28800000000000003
2,2009,東北楽天,106,294,249,27,58,9,0,1,70,14,1,4,20,0,22,3,55,5,0.233,0.281,0.303
3,2010,東北楽天,127,485,422,33,133,17,0,3,159,43,9,5,17,1,45,0,90,15,0.315,0.377,0.38
4,2011,東北楽天,129,421,362,33,81,16,1,2,105,28,7,3,24,2,30,3,85,7,0.22399999999999998,0.29,0.287
5,2012,東北楽天,91,316,265,32,77,4,2,1,88,8,3,4,13,1,33,4,51,5,0.29100000000000004,0.332,0.376
6,2013,東北楽天,134,507,447,44,115,13,1,4,142,48,3,3,16,3,39,2,92,14,0.257,0.318,0.318
7,2014,東北楽天,126,432,350,43,92,13,0,1,108,36,6,4,11,5,65,1,84,13,0.263,0.309,0.375
8,2015,東北楽天,117,411,338,28,74,9,1,4,97,18,6,3,11,1,60,1,69,11,0.21899999999999997,0.287,0.33799999999999997
9,2016,東北楽天,80,256,199,26,54,9,1,2,71,17,4,4,17,0,40,0,43,6,0.271,0.35700000000000004,0.39299999999999996
10,2017,東北楽天,112,369,281,34,56,9,0,3,74,28,2,1,27,1,57,3,62,8,0.19899999999999998,0.263,0.33899999999999997
11,2018,東北楽天,113,361,315,21,65,12,1,0,79,21,2,3,15,0,30,1,89,3,0.20600000000000002,0.251,0.27699999999999997
12,2019,東北楽天,57,131,110,12,23,5,0,3,37,15,0,0,7,0,13,1,20,3,0.209,0.336,0.298
13,2020,東京ヤクルト,20,45,41,2,4,2,0,0,6,4,0,0,1,0,3,0,19,1,0.098,0.146,0.159
14,nan,通　算,1422,4605,3887,388,934,137,7,26,1163,315,50,37,210,15,473,20,873,103,0.24,0.299,0.325
