,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2002,ヤクルト,29.0,12.0,9.0,0.0,,,2.0,0.0,2.0,0.5710000000000001,735.0,178.1,183.0,20.0,29.0,2.0,104.0,5.0,3.0,76.0,66.0,3.33
1,2003,ヤクルト,30.0,12.0,11.0,0.0,,,3.0,0.0,2.0,0.522,793.0,190,201.0,21.0,33.0,7.0,97.0,3.0,1.0,88.0,80.0,3.79
2,2004,ヤクルト,27.0,11.0,11.0,0.0,,,1.0,0.0,0.0,0.5,708.0,163.1,200.0,21.0,22.0,5.0,72.0,4.0,1.0,90.0,79.0,4.35
3,2005,ヤクルト,26.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556,637.0,149.2,180.0,18.0,24.0,4.0,105.0,7.0,0.0,82.0,81.0,4.87
4,2006,東京ヤクルト,29.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,648.0,151,191.0,12.0,17.0,3.0,81.0,4.0,0.0,82.0,76.0,4.53
5,2007,東京ヤクルト,26.0,4.0,7.0,0.0,2.0,3.0,3.0,2.0,2.0,0.364,405.0,96.2,104.0,15.0,16.0,5.0,50.0,2.0,0.0,51.0,47.0,4.38
6,2008,東京ヤクルト,30.0,12.0,10.0,0.0,1.0,1.0,3.0,1.0,2.0,0.545,792.0,195,180.0,21.0,41.0,4.0,112.0,2.0,0.0,59.0,58.0,2.68
7,2009,東京ヤクルト,29.0,13.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.65,810.0,198.1,203.0,25.0,28.0,6.0,84.0,4.0,0.0,81.0,78.0,3.54
8,2010,東京ヤクルト,28.0,13.0,8.0,0.0,0.0,0.0,2.0,1.0,1.0,0.619,783.0,186.1,209.0,20.0,27.0,7.0,98.0,9.0,0.0,81.0,73.0,3.53
9,2011,東京ヤクルト,27.0,10.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.526,731.0,178.1,168.0,18.0,42.0,5.0,127.0,1.0,0.0,57.0,54.0,2.73
10,2012,東京ヤクルト,27.0,8.0,11.0,0.0,0.0,0.0,2.0,1.0,0.0,0.42100000000000004,721.0,172.2,175.0,14.0,41.0,5.0,100.0,4.0,0.0,77.0,69.0,3.6
11,2013,東京ヤクルト,24.0,6.0,9.0,0.0,0.0,0.0,2.0,0.0,1.0,0.4,623.0,148.1,149.0,15.0,33.0,6.0,85.0,6.0,1.0,73.0,58.0,3.52
12,2014,東京ヤクルト,27.0,10.0,10.0,0.0,0.0,0.0,2.0,2.0,0.0,0.5,725.0,165,181.0,20.0,49.0,6.0,101.0,2.0,0.0,97.0,87.0,4.75
13,2015,東京ヤクルト,25.0,13.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,0.591,598.0,146.2,150.0,16.0,28.0,3.0,90.0,3.0,0.0,59.0,54.0,3.31
14,2016,東京ヤクルト,20.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,500.0,116.2,126.0,15.0,33.0,2.0,52.0,3.0,1.0,59.0,58.0,4.47
15,2017,東京ヤクルト,23.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,540.0,123.1,149.0,18.0,28.0,4.0,88.0,2.0,1.0,72.0,70.0,5.11
16,2018,東京ヤクルト,22.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5379999999999999,488.0,110.2,121.0,19.0,41.0,4.0,78.0,2.0,0.0,70.0,60.0,4.88
17,2019,東京ヤクルト,23.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5710000000000001,514.0,124.1,117.0,18.0,26.0,4.0,88.0,2.0,1.0,57.0,53.0,3.84
18,2020,東京ヤクルト,15.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,331.0,76.1,85.0,7.0,19.0,2.0,41.0,2.0,0.0,40.0,38.0,4.48
19,nan,通　算,487.0,173.0,171.0,0.0,3.0,4.0,25.0,8.0,11.0,0.503,12082.0,2871,3072.0,333.0,577.0,84.0,1653.0,67.0,9.0,1351.0,1239.0,3.88
