,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2013,東京ヤクルト,26.0,16.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,0.8,722.0,178,155.0,9.0,45.0,2.0,135.0,2.0,0.0,63.0,58.0,2.93
1,2014,東京ヤクルト,17.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,469.0,108.1,119.0,13.0,22.0,3.0,108.0,1.0,1.0,52.0,44.0,3.66
2,2015,東京ヤクルト,27.0,11.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.579,700.0,168,152.0,18.0,48.0,4.0,128.0,0.0,0.0,66.0,58.0,3.11
3,2016,東京ヤクルト,25.0,8.0,9.0,0.0,0.0,0.0,4.0,1.0,1.0,0.47100000000000003,668.0,158,149.0,22.0,52.0,6.0,114.0,3.0,0.0,82.0,79.0,4.5
4,2017,東京ヤクルト,22.0,8.0,7.0,0.0,1.0,1.0,2.0,1.0,0.0,0.5329999999999999,509.0,124,104.0,11.0,39.0,0.0,109.0,0.0,0.0,42.0,39.0,2.83
5,2018,東京ヤクルト,18.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.615,450.0,108,109.0,9.0,24.0,1.0,94.0,1.0,0.0,36.0,33.0,2.75
6,2019,東京ヤクルト,26.0,5.0,12.0,0.0,0.0,0.0,2.0,1.0,2.0,0.294,686.0,159.2,173.0,26.0,36.0,2.0,132.0,1.0,0.0,91.0,81.0,4.57
7,2020,東京ヤクルト,20.0,10.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.556,515.0,119,132.0,20.0,29.0,2.0,83.0,2.0,0.0,64.0,61.0,4.61
8,2021,東京ヤクルト,23.0,9.0,6.0,0.0,0.0,0.0,2.0,1.0,2.0,0.6,529.0,128.1,132.0,15.0,30.0,1.0,97.0,2.0,0.0,64.0,59.0,4.14
9,2022,東京ヤクルト,25.0,8.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,621.0,153.1,145.0,16.0,32.0,3.0,91.0,2.0,0.0,50.0,48.0,2.82
10,nan,通　算,229.0,92.0,73.0,0.0,1.0,1.0,17.0,10.0,6.0,0.5579999999999999,5869.0,1404.2,1370.0,159.0,357.0,24.0,1091.0,14.0,1.0,610.0,560.0,3.59
