,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2010,福岡ソフトバンク,13.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,266.0,58.2,59.0,6.0,33.0,7.0,44.0,3.0,1.0,33.0,30.0,4.6
1,2011,福岡ソフトバンク,17.0,7.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,446.0,110.2,88.0,7.0,33.0,5.0,67.0,2.0,0.0,38.0,35.0,2.85
2,2012,福岡ソフトバンク,24.0,8.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.444,623.0,148.2,129.0,10.0,57.0,9.0,83.0,1.0,0.0,51.0,46.0,2.78
3,2013,福岡ソフトバンク,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,164.0,35.1,42.0,2.0,20.0,1.0,17.0,0.0,0.0,19.0,18.0,4.58
4,2014,福岡ソフトバンク,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5,5.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,5.4
5,2016,福岡ソフトバンク,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,63.0,13.2,17.0,1.0,8.0,1.0,9.0,1.0,0.0,9.0,9.0,5.93
6,2017,福岡ソフトバンク,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,7.1,7.0,1.0,4.0,0.0,4.0,2.0,0.0,3.0,3.0,3.68
7,2018,東京ヤクルト,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,5.2,10.0,2.0,4.0,1.0,3.0,0.0,0.0,11.0,10.0,15.88
8,2019,東京ヤクルト,14.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556,268.0,62.1,70.0,10.0,16.0,1.0,45.0,1.0,0.0,29.0,27.0,3.9
9,2020,東京ヤクルト,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,8.2,8.0,1.0,4.0,0.0,4.0,0.0,0.0,8.0,8.0,8.31
10,nan,通　算,88.0,29.0,33.0,0.0,0.0,0.0,2.0,1.0,1.0,0.46799999999999997,1957.0,456,435.0,40.0,185.0,25.0,276.0,10.0,1.0,204.0,189.0,3.73
