,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2013,東京ヤクルト,60.0,3.0,3.0,10.0,21.0,24.0,0.0,0.0,0.0,0.5,263.0,58.1,58.0,6.0,30.0,1.0,59.0,5.0,0.0,21.0,18.0,2.78
1,2014,東京ヤクルト,35.0,3.0,8.0,0.0,2.0,3.0,0.0,0.0,0.0,0.273,480.0,109.1,111.0,15.0,46.0,3.0,79.0,0.0,0.0,59.0,55.0,4.53
2,2015,東京ヤクルト,21.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,479.0,111.1,118.0,7.0,38.0,2.0,78.0,4.0,0.0,50.0,45.0,3.64
3,2016,東京ヤクルト,13.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,71.0,16,23.0,2.0,1.0,0.0,10.0,0.0,0.0,13.0,13.0,7.31
4,2017,東京ヤクルト,66.0,3.0,6.0,0.0,24.0,27.0,0.0,0.0,0.0,0.33299999999999996,285.0,68.1,63.0,5.0,17.0,1.0,76.0,5.0,0.0,29.0,23.0,3.03
5,2018,東京ヤクルト,71.0,3.0,2.0,35.0,7.0,10.0,0.0,0.0,0.0,0.6,296.0,73.2,63.0,6.0,15.0,2.0,62.0,0.0,0.0,19.0,17.0,2.08
6,2019,東京ヤクルト,34.0,2.0,2.0,10.0,5.0,7.0,0.0,0.0,0.0,0.5,137.0,33,30.0,2.0,8.0,0.0,31.0,3.0,0.0,12.0,10.0,2.73
7,2020,東京ヤクルト,44.0,3.0,2.0,20.0,4.0,7.0,0.0,0.0,0.0,0.6,186.0,44.2,42.0,2.0,11.0,1.0,58.0,2.0,0.0,10.0,10.0,2.01
8,2021,東京ヤクルト,58.0,0.0,5.0,10.0,9.0,9.0,0.0,0.0,0.0,0.0,226.0,55,54.0,6.0,10.0,0.0,64.0,1.0,1.0,23.0,22.0,3.6
9,nan,通　算,402.0,23.0,33.0,85.0,73.0,89.0,0.0,0.0,0.0,0.41100000000000003,2423.0,569.2,562.0,51.0,176.0,10.0,517.0,20.0,1.0,236.0,213.0,3.37
