,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2003,大阪近鉄,1,6,5,0,1,0,0,0,1,0,0,1,0,0,1,0,2,0,0.2,0.2,0.33299999999999996
1,2004,大阪近鉄,7,5,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.2
2,2005,オリックス,6,6,6,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0.16699999999999998,0.33299999999999996,0.16699999999999998
3,2006,オリックス,28,26,22,3,2,0,0,1,5,2,3,1,1,0,3,0,6,1,0.091,0.22699999999999998,0.2
4,2007,オリックス,46,149,137,13,33,6,1,0,41,8,4,1,6,0,5,1,21,0,0.24100000000000002,0.299,0.273
5,2008,オリックス,142,588,540,68,150,15,6,2,183,32,13,3,17,4,23,4,77,9,0.278,0.33899999999999997,0.31
6,2009,オリックス,137,594,526,82,167,23,7,5,219,50,16,4,8,4,52,4,81,8,0.317,0.41600000000000004,0.381
7,2010,オリックス,138,622,558,84,172,31,10,5,238,50,12,6,7,1,52,4,77,13,0.308,0.42700000000000005,0.371
8,2011,オリックス,144,651,590,84,175,20,7,3,218,45,5,5,2,1,54,4,77,11,0.297,0.369,0.359
9,2012,オリックス,40,165,158,7,36,2,1,0,40,8,2,2,2,0,5,0,13,0,0.228,0.253,0.252
10,2013,オリックス,97,440,383,47,88,13,5,3,120,24,2,2,10,2,44,1,48,4,0.23,0.313,0.309
11,2014,オリックス,122,382,323,33,76,5,5,2,97,40,3,2,10,0,47,2,45,4,0.235,0.3,0.336
12,2015,オリックス,36,121,107,8,28,7,0,1,38,5,1,0,1,1,12,0,18,1,0.262,0.355,0.33299999999999996
13,2016,東京ヤクルト,141,607,526,74,155,14,5,0,179,39,7,4,5,5,63,8,66,5,0.295,0.34,0.375
14,2017,東京ヤクルト,136,607,535,51,155,16,2,4,187,38,4,3,5,3,59,5,76,6,0.29,0.35,0.364
15,2018,東京ヤクルト,139,595,508,64,161,22,4,3,200,37,9,7,7,2,75,3,60,15,0.317,0.39399999999999996,0.406
16,2019,東京ヤクルト,22,77,64,2,8,1,0,0,9,2,0,0,1,0,10,2,13,2,0.125,0.141,0.263
17,2020,東京ヤクルト,114,458,398,55,98,14,1,9,141,36,4,5,3,3,47,7,60,8,0.24600000000000002,0.354,0.33399999999999996
18,2021,東京ヤクルト,25,57,50,7,8,1,0,0,9,0,0,3,1,0,4,2,12,0,0.16,0.18,0.25
19,2022,東京ヤクルト,24,47,43,2,12,3,0,0,15,2,0,0,0,0,3,1,13,0,0.27899999999999997,0.349,0.34
20,nan,通　算,1545,6203,5483,686,1526,194,54,38,1942,418,85,49,86,26,560,48,766,87,0.278,0.354,0.349
