,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2013,福岡ソフトバンク,17.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,136.0,29.1,43.0,1.0,12.0,0.0,11.0,2.0,0.0,19.0,18.0,5.52
1,2014,福岡ソフトバンク,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,6.0
2,2014,東京ヤクルト,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,10.2,17.0,4.0,4.0,0.0,7.0,1.0,0.0,8.0,8.0,6.75
3,2015,東京ヤクルト,9.0,6.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.75,210.0,50,54.0,5.0,7.0,5.0,20.0,0.0,0.0,21.0,18.0,3.24
4,2016,東京ヤクルト,22.0,6.0,12.0,0.0,0.0,0.0,3.0,1.0,2.0,0.33299999999999996,578.0,140,140.0,17.0,20.0,9.0,54.0,1.0,0.0,56.0,55.0,3.54
5,2017,東京ヤクルト,13.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,333.0,75.1,91.0,11.0,17.0,4.0,29.0,0.0,0.0,45.0,43.0,5.14
6,2018,東京ヤクルト,11.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,163.0,37.1,43.0,2.0,10.0,2.0,20.0,0.0,0.0,18.0,15.0,3.62
7,2019,東京ヤクルト,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,9.2,10.0,2.0,2.0,1.0,5.0,0.0,0.0,8.0,8.0,7.45
8,2020,東京ヤクルト,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,125.0,29.1,31.0,3.0,8.0,0.0,16.0,0.0,0.0,18.0,18.0,5.52
9,nan,通　算,92.0,17.0,26.0,0.0,2.0,2.0,5.0,2.0,2.0,0.395,1651.0,384.2,433.0,45.0,80.0,21.0,163.0,4.0,0.0,195.0,185.0,4.33
