,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2006,東京ヤクルト,6,23,21,2,4,0,0,0,4,1,0,0,1,0,1,0,8,0,0.19,0.19,0.22699999999999998
1,2007,東京ヤクルト,9,13,10,1,1,1,0,0,2,1,0,0,2,0,1,0,6,0,0.1,0.2,0.182
2,2008,東京ヤクルト,65,115,104,11,27,4,0,1,34,9,2,0,6,0,5,0,20,1,0.26,0.327,0.294
3,2009,東京ヤクルト,30,42,37,2,10,0,0,0,10,0,0,0,2,0,3,0,6,2,0.27,0.27,0.325
4,2010,東京ヤクルト,59,214,188,22,56,12,1,1,73,21,0,0,6,3,16,1,21,7,0.298,0.38799999999999996,0.35100000000000003
5,2011,東京ヤクルト,117,457,399,48,107,20,3,4,145,46,0,0,15,3,40,0,51,5,0.268,0.363,0.33299999999999996
6,2012,東京ヤクルト,125,507,453,52,135,15,5,4,172,49,3,2,13,4,35,2,56,7,0.298,0.38,0.348
7,2013,東京ヤクルト,70,312,267,36,83,7,2,5,109,37,2,2,7,1,37,0,28,6,0.311,0.408,0.39299999999999996
8,2014,東京ヤクルト,142,637,580,86,177,33,2,10,244,69,2,2,8,3,43,3,62,10,0.305,0.42100000000000004,0.355
9,2015,東京ヤクルト,143,632,581,87,195,34,1,8,255,57,4,3,2,2,43,3,72,15,0.336,0.439,0.38299999999999995
10,2016,東京ヤクルト,103,458,420,48,127,22,1,1,154,32,3,0,1,2,34,1,31,13,0.302,0.36700000000000005,0.354
11,2018,東京ヤクルト,97,334,297,22,77,9,1,3,97,31,1,0,1,1,32,3,37,11,0.259,0.327,0.336
12,2019,東京ヤクルト,37,67,61,5,10,1,0,0,11,7,0,0,0,1,5,0,8,2,0.16399999999999998,0.18,0.22399999999999998
13,2020,東京ヤクルト,39,42,39,3,5,0,0,0,5,2,0,0,0,0,3,0,4,1,0.128,0.128,0.19
14,nan,通　算,1042,3853,3457,425,1014,158,16,37,1315,362,17,9,64,20,298,13,410,80,0.293,0.38,0.35
