,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2013,東京ヤクルト,5,8,8,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.125,0.125,0.125
1,2014,東京ヤクルト,8,22,20,2,5,2,0,1,10,4,0,0,0,0,1,1,4,0,0.25,0.5,0.318
2,2015,東京ヤクルト,13,40,34,1,5,1,0,1,9,2,0,0,3,0,3,0,11,1,0.147,0.265,0.21600000000000003
3,2016,東京ヤクルト,74,245,222,29,54,16,1,7,93,25,0,0,4,0,18,1,39,5,0.243,0.419,0.303
4,2017,東京ヤクルト,37,86,73,4,10,3,0,1,16,7,1,0,0,1,11,1,20,2,0.13699999999999998,0.21899999999999997,0.256
5,2018,東京ヤクルト,4,7,7,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0.14300000000000002,0.14300000000000002,0.14300000000000002
6,2019,東京ヤクルト,47,62,54,2,11,5,0,0,16,4,0,0,0,0,8,0,16,1,0.204,0.29600000000000004,0.306
7,2020,東京ヤクルト,69,215,190,20,44,5,0,7,70,20,0,1,1,1,20,3,48,4,0.23199999999999998,0.368,0.313
8,2021,東京ヤクルト,11,19,18,1,2,0,0,0,2,0,0,0,0,0,1,0,4,0,0.111,0.111,0.158
9,nan,通　算,268,704,626,61,133,32,1,17,218,62,1,1,8,2,62,6,145,13,0.212,0.348,0.289
