,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2010,東京ヤクルト,23.0,7.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,0.43799999999999994,483.0,107.2,130.0,23.0,40.0,2.0,62.0,1.0,0.0,76.0,68.0,5.68
1,2011,東京ヤクルト,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2,7.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,18.0
2,2012,東京ヤクルト,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,66.0,15,15.0,0.0,5.0,2.0,8.0,1.0,0.0,4.0,4.0,2.4
3,2013,東京ヤクルト,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,11.1,19.0,4.0,11.0,0.0,8.0,0.0,0.0,13.0,10.0,7.94
4,2014,東京ヤクルト,24.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,98.0,23,20.0,1.0,10.0,0.0,20.0,1.0,0.0,5.0,4.0,1.57
5,2015,東京ヤクルト,35.0,1.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.33299999999999996,136.0,29.2,32.0,2.0,15.0,1.0,21.0,1.0,0.0,12.0,10.0,3.03
6,2016,東京ヤクルト,19.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,87.0,20.1,17.0,3.0,6.0,3.0,11.0,1.0,0.0,8.0,8.0,3.54
7,2017,東京ヤクルト,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,26.1,27.0,3.0,6.0,0.0,21.0,1.0,0.0,12.0,12.0,4.1
8,2018,東京ヤクルト,37.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,128.0,28.2,34.0,4.0,6.0,2.0,24.0,1.0,0.0,22.0,22.0,6.91
9,2019,東京ヤクルト,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.2,4.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,21.6
10,2020,東京ヤクルト,28.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.5,119.0,25.2,32.0,6.0,9.0,1.0,19.0,0.0,0.0,21.0,21.0,7.36
11,nan,通　算,202.0,13.0,15.0,0.0,21.0,25.0,2.0,1.0,0.0,0.46399999999999997,1312.0,291.1,337.0,47.0,108.0,11.0,196.0,7.0,0.0,182.0,167.0,5.16
