,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2009,東京ヤクルト,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.2
1,2010,東京ヤクルト,3,6,6,1,2,1,0,0,3,1,0,0,0,0,0,0,4,0,0.33299999999999996,0.5,0.33299999999999996
2,2011,東京ヤクルト,13,6,6,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0.33299999999999996,0.33299999999999996,0.33299999999999996
3,2012,東京ヤクルト,91,249,209,19,53,5,0,1,61,15,1,1,8,2,28,2,31,10,0.254,0.292,0.344
4,2013,東京ヤクルト,84,286,239,17,56,5,2,4,77,24,1,1,12,2,30,3,37,8,0.23399999999999999,0.322,0.325
5,2014,東京ヤクルト,99,365,325,26,97,9,1,5,123,41,0,0,7,3,26,4,51,8,0.298,0.37799999999999995,0.355
6,2015,東京ヤクルト,136,502,442,36,102,14,0,2,122,33,3,2,14,2,40,4,80,9,0.231,0.276,0.299
7,2016,東京ヤクルト,106,378,321,24,60,14,0,3,83,37,2,0,14,6,31,6,47,9,0.187,0.259,0.266
8,2017,東京ヤクルト,127,486,419,42,102,14,4,4,136,34,2,1,11,4,42,10,65,14,0.243,0.325,0.324
9,2018,東京ヤクルト,123,401,341,32,72,9,1,5,98,26,2,0,22,2,31,5,39,7,0.21100000000000002,0.287,0.285
10,2019,東京ヤクルト,126,450,372,42,100,24,2,5,143,36,1,4,13,2,53,10,64,11,0.26899999999999996,0.384,0.373
11,2020,東京ヤクルト,29,92,80,10,14,2,0,0,16,3,0,1,2,1,9,0,14,2,0.175,0.2,0.256
12,2021,東京ヤクルト,123,445,377,47,105,24,0,2,135,36,0,3,14,4,46,4,66,10,0.27899999999999997,0.358,0.36
13,2022,東京ヤクルト,86,307,266,23,70,9,1,5,96,28,0,0,8,3,26,4,36,10,0.263,0.361,0.33399999999999996
14,nan,通　算,1151,3978,3407,321,835,130,11,36,1095,314,12,13,125,31,362,53,534,98,0.245,0.321,0.324
