,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2009,東京ヤクルト,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
1,2010,東京ヤクルト,39,47,42,5,9,3,0,0,12,2,0,0,2,0,1,2,10,0,0.214,0.28600000000000003,0.267
2,2011,東京ヤクルト,12,34,30,1,8,1,0,0,9,0,6,0,1,0,3,0,5,0,0.267,0.3,0.33299999999999996
3,2012,東京ヤクルト,50,173,148,14,38,5,2,0,47,12,8,4,13,0,12,0,30,2,0.257,0.318,0.313
4,2013,東京ヤクルト,112,399,339,51,87,7,4,4,114,22,18,3,24,2,33,1,65,2,0.257,0.336,0.32299999999999995
5,2014,東京ヤクルト,115,292,252,36,53,4,2,2,67,20,16,4,16,3,18,3,45,1,0.21,0.266,0.268
6,2015,東京ヤクルト,82,238,209,18,55,2,2,1,64,19,8,1,11,2,14,2,29,5,0.263,0.306,0.313
7,2016,東京ヤクルト,72,92,82,12,18,2,1,1,25,10,5,3,1,2,4,3,13,1,0.22,0.305,0.275
8,2017,東京ヤクルト,100,188,167,18,39,1,5,0,50,11,6,3,8,3,8,2,26,0,0.23399999999999999,0.299,0.272
9,2018,東京ヤクルト,102,101,85,17,19,5,0,1,27,7,2,1,7,0,8,1,12,1,0.22399999999999998,0.318,0.298
10,2019,東京ヤクルト,56,57,51,9,12,0,0,0,12,4,1,1,3,1,1,1,7,1,0.235,0.235,0.259
11,2020,東京ヤクルト,53,61,56,13,7,1,0,0,8,2,5,0,2,1,2,0,15,3,0.125,0.14300000000000002,0.153
12,nan,通　算,797,1683,1462,195,345,31,16,9,435,109,75,21,88,14,104,15,257,16,0.23600000000000002,0.298,0.29100000000000004
