,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2007,東北楽天,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0
1,2008,東北楽天,23,28,23,2,2,0,0,0,2,2,0,0,4,0,1,0,5,2,0.087,0.087,0.125
2,2010,東北楽天,14,38,34,2,7,0,0,0,7,2,0,0,4,0,0,0,9,1,0.20600000000000002,0.20600000000000002,0.20600000000000002
3,2011,東北楽天,2,6,6,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0.16699999999999998,0.16699999999999998,0.16699999999999998
4,2013,読　売,10,8,6,1,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0.0,0.0,0.14300000000000002
5,2016,東京ヤクルト,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
6,2017,東京ヤクルト,7,13,12,3,2,0,0,0,2,1,0,0,1,0,0,0,2,0,0.16699999999999998,0.16699999999999998,0.16699999999999998
7,2018,東京ヤクルト,47,97,90,5,13,3,0,0,16,4,0,0,2,0,5,0,26,2,0.14400000000000002,0.17800000000000002,0.18899999999999997
8,2019,東京ヤクルト,7,11,10,1,2,1,0,0,3,0,0,0,1,0,0,0,4,1,0.2,0.3,0.2
9,2020,東京ヤクルト,32,22,19,1,2,0,1,0,4,4,0,0,2,0,1,0,6,1,0.105,0.21100000000000002,0.15
10,nan,通　算,148,227,204,15,29,4,1,0,35,13,0,0,15,0,8,0,59,9,0.142,0.172,0.175
