,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,1999,ヤクルト,36.0,6.0,4.0,1.0,,,0.0,0.0,0.0,0.6,207.0,47.2,34.0,4.0,29.0,1.0,59.0,3.0,1.0,27.0,26.0,4.91
1,2000,ヤクルト,56.0,11.0,4.0,1.0,,,0.0,0.0,0.0,0.733,301.0,75.1,42.0,11.0,33.0,1.0,90.0,6.0,0.0,28.0,26.0,3.11
2,2001,ヤクルト,41.0,2.0,3.0,0.0,,,0.0,0.0,0.0,0.4,180.0,41.2,25.0,2.0,28.0,2.0,51.0,1.0,0.0,13.0,12.0,2.59
3,2002,ヤクルト,64.0,8.0,2.0,4.0,,,0.0,0.0,0.0,0.8,300.0,78,49.0,8.0,18.0,3.0,97.0,8.0,0.0,19.0,18.0,2.08
4,2003,ヤクルト,66.0,5.0,5.0,0.0,,,0.0,0.0,0.0,0.5,310.0,74,60.0,9.0,33.0,1.0,83.0,7.0,1.0,33.0,32.0,3.89
5,2004,ヤクルト,66.0,5.0,3.0,37.0,,,0.0,0.0,0.0,0.625,313.0,74.1,57.0,9.0,36.0,1.0,86.0,4.0,0.0,24.0,22.0,2.66
6,2005,ヤクルト,49.0,3.0,2.0,4.0,11.0,14.0,0.0,0.0,0.0,0.6,246.0,56.2,52.0,6.0,27.0,1.0,60.0,6.0,0.0,24.0,22.0,3.49
7,2006,東京ヤクルト,29.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.33299999999999996,119.0,25,33.0,3.0,11.0,2.0,18.0,4.0,0.0,20.0,17.0,6.12
8,2008,東京ヤクルト,44.0,3.0,2.0,3.0,12.0,15.0,0.0,0.0,0.0,0.6,171.0,43.2,35.0,3.0,6.0,2.0,42.0,3.0,0.0,13.0,12.0,2.47
9,2009,東京ヤクルト,56.0,3.0,2.0,3.0,29.0,32.0,0.0,0.0,0.0,0.6,221.0,53.2,42.0,3.0,20.0,3.0,44.0,1.0,0.0,19.0,19.0,3.19
10,2013,福岡ソフトバンク,51.0,3.0,3.0,12.0,11.0,14.0,0.0,0.0,0.0,0.5,214.0,53.1,38.0,1.0,18.0,1.0,58.0,1.0,1.0,17.0,15.0,2.53
11,2014,福岡ソフトバンク,63.0,1.0,3.0,2.0,44.0,45.0,0.0,0.0,0.0,0.25,226.0,59.1,33.0,0.0,18.0,1.0,71.0,4.0,1.0,11.0,10.0,1.52
12,2015,福岡ソフトバンク,54.0,3.0,1.0,2.0,31.0,34.0,0.0,0.0,0.0,0.75,203.0,52,31.0,1.0,15.0,4.0,59.0,3.0,0.0,8.0,8.0,1.38
13,2016,福岡ソフトバンク,33.0,0.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,123.0,27.1,23.0,3.0,14.0,4.0,27.0,2.0,0.0,11.0,11.0,3.62
14,2017,福岡ソフトバンク,46.0,6.0,0.0,0.0,11.0,17.0,0.0,0.0,0.0,1.0,170.0,41.2,20.0,2.0,21.0,3.0,28.0,2.0,0.0,8.0,8.0,1.73
15,2018,福岡ソフトバンク,23.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,94.0,20,23.0,2.0,11.0,0.0,14.0,2.0,0.0,11.0,10.0,4.5
16,2019,東京ヤクルト,45.0,5.0,1.0,0.0,4.0,9.0,0.0,0.0,0.0,0.833,193.0,42.1,35.0,4.0,24.0,3.0,33.0,3.0,1.0,19.0,14.0,2.98
17,2020,東京ヤクルト,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,nan,通　算,823.0,65.0,39.0,70.0,163.0,191.0,0.0,0.0,0.0,0.625,3592.0,866.1,632.0,71.0,362.0,33.0,920.0,60.0,5.0,305.0,282.0,2.93
